 	AKC013 	Aleutians East
atom 	AKC016 	Aleutians West
atom 	AKC020 	Anchorage
atom 	AKC050 	Bethel
atom 	AKC060 	Bristol Bay
atom 	AKC068 	Denali
atom 	AKC070 	Dillingham
atom 	AKC090 	Fairbanks North Star
atom 	AKC100 	Haines
atom 	AKC105 	Hoonah-Angoon
atom 	AKC110 	Juneau
atom 	AKC122 	Kenai Peninsula
atom 	AKC130 	Ketchikan Gateway
atom 	AKC150 	Kodiak Island
atom 	AKC164 	Lake and Peninsula
atom 	AKC170 	Matanuska-Susitna
atom 	AKC180 	Nome
atom 	AKC185 	North Slope
atom 	AKC188 	Northwest Arctic
atom 	AKC195 	Petersburg Census Area
atom 	AKC198 	Prince of Wales-Hyder
atom 	AKC220 	Sitka
atom 	AKC230 	Skagway
atom 	AKC240 	Southeast Fairbanks
atom 	AKC261 	Valdez-Cordova
atom 	AKC270 	Wade Hampton
atom 	AKC275 	Wrangell
atom 	AKC282 	Yakutat
atom 	AKC290 	Yukon-Koyukuk
