 	ALC001 	Autauga
atom 	ALC003 	Baldwin
atom 	ALC005 	Barbour
atom 	ALC007 	Bibb
atom 	ALC009 	Blount
atom 	ALC011 	Bullock
atom 	ALC013 	Butler
atom 	ALC015 	Calhoun
atom 	ALC017 	Chambers
atom 	ALC019 	Cherokee
atom 	ALC021 	Chilton
atom 	ALC023 	Choctaw
atom 	ALC025 	Clarke
atom 	ALC027 	Clay
atom 	ALC029 	Cleburne
atom 	ALC031 	Coffee
atom 	ALC033 	Colbert
atom 	ALC035 	Conecuh
atom 	ALC037 	Coosa
atom 	ALC039 	Covington
atom 	ALC041 	Crenshaw
atom 	ALC043 	Cullman
atom 	ALC045 	Dale
atom 	ALC047 	Dallas
atom 	ALC049 	DeKalb
atom 	ALC051 	Elmore
atom 	ALC053 	Escambia
atom 	ALC055 	Etowah
atom 	ALC057 	Fayette
atom 	ALC059 	Franklin
atom 	ALC061 	Geneva
atom 	ALC063 	Greene
atom 	ALC065 	Hale
atom 	ALC067 	Henry
atom 	ALC069 	Houston
atom 	ALC071 	Jackson
atom 	ALC073 	Jefferson
atom 	ALC075 	Lamar
atom 	ALC077 	Lauderdale
atom 	ALC079 	Lawrence
atom 	ALC081 	Lee
atom 	ALC083 	Limestone
atom 	ALC085 	Lowndes
atom 	ALC087 	Macon
atom 	ALC089 	Madison
atom 	ALC091 	Marengo
atom 	ALC093 	Marion
atom 	ALC095 	Marshall
atom 	ALC097 	Mobile
atom 	ALC099 	Monroe
atom 	ALC101 	Montgomery
atom 	ALC103 	Morgan
atom 	ALC105 	Perry
atom 	ALC107 	Pickens
atom 	ALC109 	Pike
atom 	ALC111 	Randolph
atom 	ALC113 	Russell
atom 	ALC115 	St. Clair
atom 	ALC117 	Shelby
atom 	ALC119 	Sumter
atom 	ALC121 	Talladega
atom 	ALC123 	Tallapoosa
atom 	ALC125 	Tuscaloosa
atom 	ALC127 	Walker
atom 	ALC129 	Washington
atom 	ALC131 	Wilcox
atom 	ALC133 	Winston
