 	FLC001 	Alachua
atom 	FLC003 	Baker
atom 	FLC005 	Bay
atom 	FLC007 	Bradford
atom 	FLC009 	Brevard
atom 	FLC011 	Broward
atom 	FLC013 	Calhoun
atom 	FLC015 	Charlotte
atom 	FLC017 	Citrus
atom 	FLC019 	Clay
atom 	FLC021 	Collier
atom 	FLC023 	Columbia
atom 	FLC027 	DeSoto
atom 	FLC029 	Dixie
atom 	FLC031 	Duval
atom 	FLC033 	Escambia
atom 	FLC035 	Flagler
atom 	FLC037 	Franklin
atom 	FLC039 	Gadsden
atom 	FLC041 	Gilchrist
atom 	FLC043 	Glades
atom 	FLC045 	Gulf
atom 	FLC047 	Hamilton
atom 	FLC049 	Hardee
atom 	FLC051 	Hendry
atom 	FLC053 	Hernando
atom 	FLC055 	Highlands
atom 	FLC057 	Hillsborough
atom 	FLC059 	Holmes
atom 	FLC061 	Indian River
atom 	FLC063 	Jackson
atom 	FLC065 	Jefferson
atom 	FLC067 	Lafayette
atom 	FLC069 	Lake
atom 	FLC071 	Lee
atom 	FLC073 	Leon
atom 	FLC075 	Levy
atom 	FLC077 	Liberty
atom 	FLC079 	Madison
atom 	FLC081 	Manatee
atom 	FLC083 	Marion
atom 	FLC085 	Martin
atom 	FLC086 	Miami-Dade
atom 	FLC087 	Mainland Monroe
atom 	FLC089 	Nassau
atom 	FLC091 	Okaloosa
atom 	FLC093 	Okeechobee
atom 	FLC095 	Orange
atom 	FLC097 	Osceola
atom 	FLC099 	Palm Beach
atom 	FLC101 	Pasco
atom 	FLC103 	Pinellas
atom 	FLC105 	Polk
atom 	FLC107 	Putnam
atom 	FLC109 	St. Johns
atom 	FLC111 	St. Lucie
atom 	FLC113 	Santa Rosa
atom 	FLC115 	Sarasota
atom 	FLC117 	Seminole
atom 	FLC119 	Sumter
atom 	FLC121 	Suwannee
atom 	FLC123 	Taylor
atom 	FLC125 	Union
atom 	FLC127 	Volusia
atom 	FLC129 	Wakulla
atom 	FLC131 	Walton
atom 	FLC133 	Washington
