 	IAC001 	Adair
atom 	IAC003 	Adams
atom 	IAC005 	Allamakee
atom 	IAC007 	Appanoose
atom 	IAC009 	Audubon
atom 	IAC011 	Benton
atom 	IAC013 	Black Hawk
atom 	IAC015 	Boone
atom 	IAC017 	Bremer
atom 	IAC019 	Buchanan
atom 	IAC021 	Buena Vista
atom 	IAC023 	Butler
atom 	IAC025 	Calhoun
atom 	IAC027 	Carroll
atom 	IAC029 	Cass
atom 	IAC031 	Cedar
atom 	IAC033 	Cerro Gordo
atom 	IAC035 	Cherokee
atom 	IAC037 	Chickasaw
atom 	IAC039 	Clarke
atom 	IAC041 	Clay
atom 	IAC043 	Clayton
atom 	IAC045 	Clinton
atom 	IAC047 	Crawford
atom 	IAC049 	Dallas
atom 	IAC051 	Davis
atom 	IAC053 	Decatur
atom 	IAC055 	Delaware
atom 	IAC057 	Des Moines
atom 	IAC059 	Dickinson
atom 	IAC061 	Dubuque
atom 	IAC063 	Emmet
atom 	IAC065 	Fayette
atom 	IAC067 	Floyd
atom 	IAC069 	Franklin
atom 	IAC071 	Fremont
atom 	IAC073 	Greene
atom 	IAC075 	Grundy
atom 	IAC077 	Guthrie
atom 	IAC079 	Hamilton
atom 	IAC081 	Hancock
atom 	IAC083 	Hardin
atom 	IAC085 	Harrison
atom 	IAC087 	Henry
atom 	IAC089 	Howard
atom 	IAC091 	Humboldt
atom 	IAC093 	Ida
atom 	IAC095 	Iowa
atom 	IAC097 	Jackson
atom 	IAC099 	Jasper
atom 	IAC101 	Jefferson
atom 	IAC103 	Johnson
atom 	IAC105 	Jones
atom 	IAC107 	Keokuk
atom 	IAC109 	Kossuth
atom 	IAC111 	Lee
atom 	IAC113 	Linn
atom 	IAC115 	Louisa
atom 	IAC117 	Lucas
atom 	IAC119 	Lyon
atom 	IAC121 	Madison
atom 	IAC123 	Mahaska
atom 	IAC125 	Marion
atom 	IAC127 	Marshall
atom 	IAC129 	Mills
atom 	IAC131 	Mitchell
atom 	IAC133 	Monona
atom 	IAC135 	Monroe
atom 	IAC137 	Montgomery
atom 	IAC139 	Muscatine
atom 	IAC141 	O'Brien
atom 	IAC143 	Osceola
atom 	IAC145 	Page
atom 	IAC147 	Palo Alto
atom 	IAC149 	Plymouth
atom 	IAC151 	Pocahontas
atom 	IAC153 	Polk
atom 	IAC155 	Pottawattamie
atom 	IAC157 	Poweshiek
atom 	IAC159 	Ringgold
atom 	IAC161 	Sac
atom 	IAC163 	Scott
atom 	IAC165 	Shelby
atom 	IAC167 	Sioux
atom 	IAC169 	Story
atom 	IAC171 	Tama
atom 	IAC173 	Taylor
atom 	IAC175 	Union
atom 	IAC177 	Van Buren
atom 	IAC179 	Wapello
atom 	IAC181 	Warren
atom 	IAC183 	Washington
atom 	IAC185 	Wayne
atom 	IAC187 	Webster
atom 	IAC189 	Winnebago
atom 	IAC191 	Winneshiek
atom 	IAC193 	Woodbury
atom 	IAC195 	Worth
atom 	IAC197 	Wright
