 	IDC001 	Ada
atom 	IDC003 	Adams
atom 	IDC005 	Bannock
atom 	IDC007 	Bear Lake
atom 	IDC009 	Benewah
atom 	IDC011 	Bingham
atom 	IDC013 	Blaine
atom 	IDC015 	Boise
atom 	IDC017 	Bonner
atom 	IDC019 	Bonneville
atom 	IDC021 	Boundary
atom 	IDC023 	Butte
atom 	IDC025 	Camas
atom 	IDC027 	Canyon
atom 	IDC029 	Caribou
atom 	IDC031 	Cassia
atom 	IDC033 	Clark
atom 	IDC035 	Clearwater
atom 	IDC037 	Custer
atom 	IDC039 	Elmore
atom 	IDC041 	Franklin
atom 	IDC043 	Fremont
atom 	IDC045 	Gem
atom 	IDC047 	Gooding
atom 	IDC049 	Idaho
atom 	IDC051 	Jefferson
atom 	IDC053 	Jerome
atom 	IDC055 	Kootenai
atom 	IDC057 	Latah
atom 	IDC059 	Lemhi
atom 	IDC061 	Lewis
atom 	IDC063 	Lincoln
atom 	IDC065 	Madison
atom 	IDC067 	Minidoka
atom 	IDC069 	Nez Perce
atom 	IDC071 	Oneida
atom 	IDC073 	Owyhee
atom 	IDC075 	Payette
atom 	IDC077 	Power
atom 	IDC079 	Shoshone
atom 	IDC081 	Teton
atom 	IDC083 	Twin Falls
atom 	IDC085 	Valley
atom 	IDC087 	Washington
