 	LAC001 	Acadia
atom 	LAC003 	Allen
atom 	LAC005 	Ascension
atom 	LAC007 	Assumption
atom 	LAC009 	Avoyelles
atom 	LAC011 	Beauregard
atom 	LAC013 	Bienville
atom 	LAC015 	Bossier
atom 	LAC017 	Caddo
atom 	LAC019 	Calcasieu
atom 	LAC021 	Caldwell
atom 	LAC023 	Cameron
atom 	LAC025 	Catahoula
atom 	LAC027 	Claiborne
atom 	LAC029 	Concordia
atom 	LAC031 	De Soto
atom 	LAC033 	East Baton Rouge
atom 	LAC035 	East Carroll
atom 	LAC037 	East Feliciana
atom 	LAC039 	Evangeline
atom 	LAC041 	Franklin
atom 	LAC043 	Grant
atom 	LAC045 	Iberia
atom 	LAC047 	Iberville
atom 	LAC049 	Jackson
atom 	LAC051 	Jefferson
atom 	LAC053 	Jefferson Davis
atom 	LAC055 	Lafayette
atom 	LAC057 	Lafourche
atom 	LAC059 	La Salle
atom 	LAC061 	Lincoln
atom 	LAC063 	Livingston
atom 	LAC065 	Madison
atom 	LAC067 	Morehouse
atom 	LAC069 	Natchitoches
atom 	LAC071 	Orleans
atom 	LAC073 	Ouachita
atom 	LAC075 	Plaquemines
atom 	LAC077 	Pointe Coupee
atom 	LAC079 	Rapides
atom 	LAC081 	Red River
atom 	LAC083 	Richland
atom 	LAC085 	Sabine
atom 	LAC087 	St. Bernard
atom 	LAC089 	St. Charles
atom 	LAC091 	St. Helena
atom 	LAC093 	St. James
atom 	LAC095 	St. John The Baptist
atom 	LAC097 	St. Landry
atom 	LAC099 	St. Martin
atom 	LAC101 	St. Mary
atom 	LAC103 	St. Tammany
atom 	LAC105 	Tangipahoa
atom 	LAC107 	Tensas
atom 	LAC109 	Terrebonne
atom 	LAC111 	Union
atom 	LAC113 	Vermilion
atom 	LAC115 	Vernon
atom 	LAC117 	Washington
atom 	LAC119 	Webster
atom 	LAC121 	West Baton Rouge
atom 	LAC123 	West Carroll
atom 	LAC125 	West Feliciana
atom 	LAC127 	Winn


