 	MIC001 	Alcona
atom 	MIC003 	Alger
atom 	MIC005 	Allegan
atom 	MIC007 	Alpena
atom 	MIC009 	Antrim
atom 	MIC011 	Arenac
atom 	MIC013 	Baraga
atom 	MIC015 	Barry
atom 	MIC017 	Bay
atom 	MIC019 	Benzie
atom 	MIC021 	Berrien
atom 	MIC023 	Branch
atom 	MIC025 	Calhoun
atom 	MIC027 	Cass
atom 	MIC029 	Charlevoix
atom 	MIC031 	Cheboygan
atom 	MIC033 	Chippewa
atom 	MIC035 	Clare
atom 	MIC037 	Clinton
atom 	MIC039 	Crawford
atom 	MIC041 	Delta
atom 	MIC043 	Dickinson
atom 	MIC045 	Eaton
atom 	MIC047 	Emmet
atom 	MIC049 	Genesee
atom 	MIC051 	Gladwin
atom 	MIC053 	Gogebic
atom 	MIC055 	Grand Traverse
atom 	MIC057 	Gratiot
atom 	MIC059 	Hillsdale
atom 	MIC061 	Houghton
atom 	MIC063 	Huron
atom 	MIC065 	Ingham
atom 	MIC067 	Ionia
atom 	MIC069 	Iosco
atom 	MIC071 	Iron
atom 	MIC073 	Isabella
atom 	MIC075 	Jackson
atom 	MIC077 	Kalamazoo
atom 	MIC079 	Kalkaska
atom 	MIC081 	Kent
atom 	MIC083 	Keweenaw
atom 	MIC085 	Lake
atom 	MIC087 	Lapeer
atom 	MIC089 	Leelanau
atom 	MIC091 	Lenawee
atom 	MIC093 	Livingston
atom 	MIC095 	Luce
atom 	MIC097 	Mackinac
atom 	MIC099 	Macomb
atom 	MIC101 	Manistee
atom 	MIC103 	Marquette
atom 	MIC105 	Mason
atom 	MIC107 	Mecosta
atom 	MIC109 	Menominee
atom 	MIC111 	Midland
atom 	MIC113 	Missaukee
atom 	MIC115 	Monroe
atom 	MIC117 	Montcalm
atom 	MIC119 	Montmorency
atom 	MIC121 	Muskegon
atom 	MIC123 	Newaygo
atom 	MIC125 	Oakland
atom 	MIC127 	Oceana
atom 	MIC129 	Ogemaw
atom 	MIC131 	Ontonagon
atom 	MIC133 	Osceola
atom 	MIC135 	Oscoda
atom 	MIC137 	Otsego
atom 	MIC139 	Ottawa
atom 	MIC141 	Presque Isle
atom 	MIC143 	Roscommon
atom 	MIC145 	Saginaw
atom 	MIC147 	St. Clair
atom 	MIC149 	St. Joseph
atom 	MIC151 	Sanilac
atom 	MIC153 	Schoolcraft
atom 	MIC155 	Shiawassee
atom 	MIC157 	Tuscola
atom 	MIC159 	Van Buren
atom 	MIC161 	Washtenaw
atom 	MIC163 	Wayne
atom 	MIC165 	Wexford
