 	MNC001 	Aitkin
atom 	MNC003 	Anoka
atom 	MNC005 	Becker
atom 	MNC007 	Beltrami
atom 	MNC009 	Benton
atom 	MNC011 	Big Stone
atom 	MNC013 	Blue Earth
atom 	MNC015 	Brown
atom 	MNC017 	Carlton
atom 	MNC019 	Carver
atom 	MNC021 	Cass
atom 	MNC023 	Chippewa
atom 	MNC025 	Chisago
atom 	MNC027 	Clay
atom 	MNC029 	Clearwater
atom 	MNC031 	Cook
atom 	MNC033 	Cottonwood
atom 	MNC035 	Crow Wing
atom 	MNC037 	Dakota
atom 	MNC039 	Dodge
atom 	MNC041 	Douglas
atom 	MNC043 	Faribault
atom 	MNC045 	Fillmore
atom 	MNC047 	Freeborn
atom 	MNC049 	Goodhue
atom 	MNC051 	Grant
atom 	MNC053 	Hennepin
atom 	MNC055 	Houston
atom 	MNC057 	Hubbard
atom 	MNC059 	Isanti
atom 	MNC061 	Itasca
atom 	MNC063 	Jackson
atom 	MNC065 	Kanabec
atom 	MNC067 	Kandiyohi
atom 	MNC069 	Kittson
atom 	MNC071 	Koochiching
atom 	MNC073 	Lac qui Parle
atom 	MNC075 	Lake
atom 	MNC077 	Lake of the Woods
atom 	MNC079 	Le Sueur
atom 	MNC081 	Lincoln
atom 	MNC083 	Lyon
atom 	MNC085 	McLeod
atom 	MNC087 	Mahnomen
atom 	MNC089 	Marshall
atom 	MNC091 	Martin
atom 	MNC093 	Meeker
atom 	MNC095 	Mille Lacs
atom 	MNC097 	Morrison
atom 	MNC099 	Mower
atom 	MNC101 	Murray
atom 	MNC103 	Nicollet
atom 	MNC105 	Nobles
atom 	MNC107 	Norman
atom 	MNC109 	Olmsted
atom 	MNC111 	Otter Tail
atom 	MNC113 	Pennington
atom 	MNC115 	Pine
atom 	MNC117 	Pipestone
atom 	MNC119 	Polk
atom 	MNC121 	Pope
atom 	MNC123 	Ramsey
atom 	MNC125 	Red Lake
atom 	MNC127 	Redwood
atom 	MNC129 	Renville
atom 	MNC131 	Rice
atom 	MNC133 	Rock
atom 	MNC135 	Roseau
atom 	MNC137 	St. Louis
atom 	MNC139 	Scott
atom 	MNC141 	Sherburne
atom 	MNC143 	Sibley
atom 	MNC145 	Stearns
atom 	MNC147 	Steele
atom 	MNC149 	Stevens
atom 	MNC151 	Swift
atom 	MNC153 	Todd
atom 	MNC155 	Traverse
atom 	MNC157 	Wabasha
atom 	MNC159 	Wadena
atom 	MNC161 	Waseca
atom 	MNC163 	Washington
atom 	MNC165 	Watonwan
atom 	MNC167 	Wilkin
atom 	MNC169 	Winona
atom 	MNC171 	Wright
atom 	MNC173 	Yellow Medicine
