 	MSC001 	Adams
atom 	MSC003 	Alcorn
atom 	MSC005 	Amite
atom 	MSC007 	Attala
atom 	MSC009 	Benton
atom 	MSC011 	Bolivar
atom 	MSC013 	Calhoun
atom 	MSC015 	Carroll
atom 	MSC017 	Chickasaw
atom 	MSC019 	Choctaw
atom 	MSC021 	Claiborne
atom 	MSC023 	Clarke
atom 	MSC025 	Clay
atom 	MSC027 	Coahoma
atom 	MSC029 	Copiah
atom 	MSC031 	Covington
atom 	MSC033 	DeSoto
atom 	MSC035 	Forrest
atom 	MSC037 	Franklin
atom 	MSC039 	George
atom 	MSC041 	Greene
atom 	MSC043 	Grenada
atom 	MSC045 	Hancock
atom 	MSC047 	Harrison
atom 	MSC049 	Hinds
atom 	MSC051 	Holmes
atom 	MSC053 	Humphreys
atom 	MSC055 	Issaquena
atom 	MSC057 	Itawamba
atom 	MSC059 	Jackson
atom 	MSC061 	Jasper
atom 	MSC063 	Jefferson
atom 	MSC065 	Jefferson Davis
atom 	MSC067 	Jones
atom 	MSC069 	Kemper
atom 	MSC071 	Lafayette
atom 	MSC073 	Lamar
atom 	MSC075 	Lauderdale
atom 	MSC077 	Lawrence
atom 	MSC079 	Leake
atom 	MSC081 	Lee
atom 	MSC083 	Leflore
atom 	MSC085 	Lincoln
atom 	MSC087 	Lowndes
atom 	MSC089 	Madison
atom 	MSC091 	Marion
atom 	MSC093 	Marshall
atom 	MSC095 	Monroe
atom 	MSC097 	Montgomery
atom 	MSC099 	Neshoba
atom 	MSC101 	Newton
atom 	MSC103 	Noxubee
atom 	MSC105 	Oktibbeha
atom 	MSC107 	Panola
atom 	MSC109 	Pearl River
atom 	MSC111 	Perry
atom 	MSC113 	Pike
atom 	MSC115 	Pontotoc
atom 	MSC117 	Prentiss
atom 	MSC119 	Quitman
atom 	MSC121 	Rankin
atom 	MSC123 	Scott
atom 	MSC125 	Sharkey
atom 	MSC127 	Simpson
atom 	MSC129 	Smith
atom 	MSC131 	Stone
atom 	MSC133 	Sunflower
atom 	MSC135 	Tallahatchie
atom 	MSC137 	Tate
atom 	MSC139 	Tippah
atom 	MSC141 	Tishomingo
atom 	MSC143 	Tunica
atom 	MSC145 	Union
atom 	MSC147 	Walthall
atom 	MSC149 	Warren
atom 	MSC151 	Washington
atom 	MSC153 	Wayne
atom 	MSC155 	Webster
atom 	MSC157 	Wilkinson
atom 	MSC159 	Winston
atom 	MSC161 	Yalobusha
atom 	MSC163 	Yazoo
