 	NMC001 	Bernalillo
atom 	NMC003 	Catron
atom 	NMC005 	Chaves
atom 	NMC006 	Cibola
atom 	NMC007 	Colfax
atom 	NMC009 	Curry
atom 	NMC011 	De Baca
atom 	NMC013 	Dona Ana
atom 	NMC015 	Eddy
atom 	NMC017 	Grant
atom 	NMC019 	Guadalupe
atom 	NMC021 	Harding
atom 	NMC023 	Hidalgo
atom 	NMC025 	Lea
atom 	NMC027 	Lincoln
atom 	NMC028 	Los Alamos
atom 	NMC029 	Luna
atom 	NMC031 	McKinley
atom 	NMC033 	Mora
atom 	NMC035 	Otero
atom 	NMC037 	Quay
atom 	NMC039 	Rio Arriba
atom 	NMC041 	Roosevelt
atom 	NMC043 	Sandoval
atom 	NMC045 	San Juan
atom 	NMC047 	San Miguel
atom 	NMC049 	Santa Fe
atom 	NMC051 	Sierra
atom 	NMC053 	Socorro
atom 	NMC055 	Taos
atom 	NMC057 	Torrance
atom 	NMC059 	Union
atom 	NMC061 	Valencia
