 	NYC001 	Albany
atom 	NYC003 	Allegany
atom 	NYC005 	Bronx
atom 	NYC007 	Broome
atom 	NYC009 	Cattaraugus
atom 	NYC011 	Cayuga
atom 	NYC013 	Chautauqua
atom 	NYC015 	Chemung
atom 	NYC017 	Chenango
atom 	NYC019 	Clinton
atom 	NYC021 	Columbia
atom 	NYC023 	Cortland
atom 	NYC025 	Delaware
atom 	NYC027 	Dutchess
atom 	NYC029 	Erie
atom 	NYC031 	Essex
atom 	NYC033 	Franklin
atom 	NYC035 	Fulton
atom 	NYC037 	Genesee
atom 	NYC039 	Greene
atom 	NYC041 	Hamilton
atom 	NYC043 	Herkimer
atom 	NYC045 	Jefferson
atom 	NYC047 	Kings
atom 	NYC049 	Lewis
atom 	NYC051 	Livingston
atom 	NYC053 	Madison
atom 	NYC055 	Monroe
atom 	NYC057 	Montgomery
atom 	NYC059 	Nassau
atom 	NYC061 	New York
atom 	NYC063 	Niagara
atom 	NYC065 	Oneida
atom 	NYC067 	Onondaga
atom 	NYC069 	Ontario
atom 	NYC071 	Orange
atom 	NYC073 	Orleans
atom 	NYC075 	Oswego
atom 	NYC077 	Otsego
atom 	NYC079 	Putnam
atom 	NYC081 	Queens
atom 	NYC083 	Rensselaer
atom 	NYC085 	Richmond
atom 	NYC087 	Rockland
atom 	NYC089 	St. Lawrence
atom 	NYC091 	Saratoga
atom 	NYC093 	Schenectady
atom 	NYC095 	Schoharie
atom 	NYC097 	Schuyler
atom 	NYC099 	Seneca
atom 	NYC101 	Steuben
atom 	NYC103 	Suffolk
atom 	NYC105 	Sullivan
atom 	NYC107 	Tioga
atom 	NYC109 	Tompkins
atom 	NYC111 	Ulster
atom 	NYC113 	Warren
atom 	NYC115 	Washington
atom 	NYC117 	Wayne
atom 	NYC119 	Westchester
atom 	NYC121 	Wyoming
atom 	NYC123 	Yates
