 	ORC001 	Baker
atom 	ORC003 	Benton
atom 	ORC005 	Clackamas
atom 	ORC007 	Clatsop
atom 	ORC009 	Columbia
atom 	ORC011 	Coos
atom 	ORC013 	Crook
atom 	ORC015 	Curry
atom 	ORC017 	Deschutes
atom 	ORC019 	Douglas
atom 	ORC021 	Gilliam
atom 	ORC023 	Grant
atom 	ORC025 	Harney
atom 	ORC027 	Hood River
atom 	ORC029 	Jackson
atom 	ORC031 	Jefferson
atom 	ORC033 	Josephine
atom 	ORC035 	Klamath
atom 	ORC037 	Lake
atom 	ORC039 	Lane
atom 	ORC041 	Lincoln
atom 	ORC043 	Linn
atom 	ORC045 	Malheur
atom 	ORC047 	Marion
atom 	ORC049 	Morrow
atom 	ORC051 	Multnomah
atom 	ORC053 	Polk
atom 	ORC055 	Sherman
atom 	ORC057 	Tillamook
atom 	ORC059 	Umatilla
atom 	ORC061 	Union
atom 	ORC063 	Wallowa
atom 	ORC065 	Wasco
atom 	ORC067 	Washington
atom 	ORC069 	Wheeler
atom 	ORC071 	Yamhill
