 	TXC001 	Anderson
atom 	TXC003 	Andrews
atom 	TXC005 	Angelina
atom 	TXC007 	Aransas
atom 	TXC009 	Archer
atom 	TXC011 	Armstrong
atom 	TXC013 	Atascosa
atom 	TXC015 	Austin
atom 	TXC017 	Bailey
atom 	TXC019 	Bandera
atom 	TXC021 	Bastrop
atom 	TXC023 	Baylor
atom 	TXC025 	Bee
atom 	TXC027 	Bell
atom 	TXC029 	Bexar
atom 	TXC031 	Blanco
atom 	TXC033 	Borden
atom 	TXC035 	Bosque
atom 	TXC037 	Bowie
atom 	TXC039 	Brazoria
atom 	TXC041 	Brazos
atom 	TXC043 	Brewster
atom 	TXC045 	Briscoe
atom 	TXC047 	Brooks
atom 	TXC049 	Brown
atom 	TXC051 	Burleson
atom 	TXC053 	Burnet
atom 	TXC055 	Caldwell
atom 	TXC057 	Calhoun
atom 	TXC059 	Callahan
atom 	TXC061 	Cameron
atom 	TXC063 	Camp
atom 	TXC065 	Carson
atom 	TXC067 	Cass
atom 	TXC069 	Castro
atom 	TXC071 	Chambers
atom 	TXC073 	Cherokee
atom 	TXC075 	Childress
atom 	TXC077 	Clay
atom 	TXC079 	Cochran
atom 	TXC081 	Coke
atom 	TXC083 	Coleman
atom 	TXC085 	Collin
atom 	TXC087 	Collingsworth
atom 	TXC089 	Colorado
atom 	TXC091 	Comal
atom 	TXC093 	Comanche
atom 	TXC095 	Concho
atom 	TXC097 	Cooke
atom 	TXC099 	Coryell
atom 	TXC101 	Cottle
atom 	TXC103 	Crane
atom 	TXC105 	Crockett
atom 	TXC107 	Crosby
atom 	TXC109 	Culberson
atom 	TXC111 	Dallam
atom 	TXC113 	Dallas
atom 	TXC115 	Dawson
atom 	TXC117 	Deaf Smith
atom 	TXC119 	Delta
atom 	TXC121 	Denton
atom 	TXC123 	DeWitt
atom 	TXC125 	Dickens
atom 	TXC127 	Dimmit
atom 	TXC129 	Donley
atom 	TXC131 	Duval
atom 	TXC133 	Eastland
atom 	TXC135 	Ector
atom 	TXC137 	Edwards
atom 	TXC139 	Ellis
atom 	TXC141 	El Paso
atom 	TXC143 	Erath
atom 	TXC145 	Falls
atom 	TXC147 	Fannin
atom 	TXC149 	Fayette
atom 	TXC151 	Fisher
atom 	TXC153 	Floyd
atom 	TXC155 	Foard
atom 	TXC157 	Fort Bend
atom 	TXC159 	Franklin
atom 	TXC161 	Freestone
atom 	TXC163 	Frio
atom 	TXC165 	Gaines
atom 	TXC167 	Galveston
atom 	TXC169 	Garza
atom 	TXC171 	Gillespie
atom 	TXC173 	Glasscock
atom 	TXC175 	Goliad
atom 	TXC177 	Gonzales
atom 	TXC179 	Gray
atom 	TXC181 	Grayson
atom 	TXC183 	Gregg
atom 	TXC185 	Grimes
atom 	TXC187 	Guadalupe
atom 	TXC189 	Hale
atom 	TXC191 	Hall
atom 	TXC193 	Hamilton
atom 	TXC195 	Hansford
atom 	TXC197 	Hardeman
atom 	TXC199 	Hardin
atom 	TXC201 	Harris
atom 	TXC203 	Harrison
atom 	TXC205 	Hartley
atom 	TXC207 	Haskell
atom 	TXC209 	Hays
atom 	TXC211 	Hemphill
atom 	TXC213 	Henderson
atom 	TXC215 	Hidalgo
atom 	TXC217 	Hill
atom 	TXC219 	Hockley
atom 	TXC221 	Hood
atom 	TXC223 	Hopkins
atom 	TXC225 	Houston
atom 	TXC227 	Howard
atom 	TXC229 	Hudspeth
atom 	TXC231 	Hunt
atom 	TXC233 	Hutchinson
atom 	TXC235 	Irion
atom 	TXC237 	Jack
atom 	TXC239 	Jackson
atom 	TXC241 	Jasper
atom 	TXC243 	Jeff Davis
atom 	TXC245 	Jefferson
atom 	TXC247 	Jim Hogg
atom 	TXC249 	Jim Wells
atom 	TXC251 	Johnson
atom 	TXC253 	Jones
atom 	TXC255 	Karnes
atom 	TXC257 	Kaufman
atom 	TXC259 	Kendall
atom 	TXC261 	Kenedy
atom 	TXC263 	Kent
atom 	TXC265 	Kerr
atom 	TXC267 	Kimble
atom 	TXC269 	King
atom 	TXC271 	Kinney
atom 	TXC273 	Kleberg
atom 	TXC275 	Knox
atom 	TXC277 	Lamar
atom 	TXC279 	Lamb
atom 	TXC281 	Lampasas
atom 	TXC283 	La Salle
atom 	TXC285 	Lavaca
atom 	TXC287 	Lee
atom 	TXC289 	Leon
atom 	TXC291 	Liberty
atom 	TXC293 	Limestone
atom 	TXC295 	Lipscomb
atom 	TXC297 	Live Oak
atom 	TXC299 	Llano
atom 	TXC301 	Loving
atom 	TXC303 	Lubbock
atom 	TXC305 	Lynn
atom 	TXC307 	McCulloch
atom 	TXC309 	McLennan
atom 	TXC311 	McMullen
atom 	TXC313 	Madison
atom 	TXC315 	Marion
atom 	TXC317 	Martin
atom 	TXC319 	Mason
atom 	TXC321 	Matagorda
atom 	TXC323 	Maverick
atom 	TXC325 	Medina
atom 	TXC327 	Menard
atom 	TXC329 	Midland
atom 	TXC331 	Milam
atom 	TXC333 	Mills
atom 	TXC335 	Mitchell
atom 	TXC337 	Montague
atom 	TXC339 	Montgomery
atom 	TXC341 	Moore
atom 	TXC343 	Morris
atom 	TXC345 	Motley
atom 	TXC347 	Nacogdoches
atom 	TXC349 	Navarro
atom 	TXC351 	Newton
atom 	TXC353 	Nolan
atom 	TXC355 	Nueces
atom 	TXC357 	Ochiltree
atom 	TXC359 	Oldham
atom 	TXC361 	Orange
atom 	TXC363 	Palo Pinto
atom 	TXC365 	Panola
atom 	TXC367 	Parker
atom 	TXC369 	Parmer
atom 	TXC371 	Pecos
atom 	TXC373 	Polk
atom 	TXC375 	Potter
atom 	TXC377 	Presidio
atom 	TXC379 	Rains
atom 	TXC381 	Randall
atom 	TXC383 	Reagan
atom 	TXC385 	Real
atom 	TXC387 	Red River
atom 	TXC389 	Reeves
atom 	TXC391 	Refugio
atom 	TXC393 	Roberts
atom 	TXC395 	Robertson
atom 	TXC397 	Rockwall
atom 	TXC399 	Runnels
atom 	TXC401 	Rusk
atom 	TXC403 	Sabine
atom 	TXC405 	San Augustine
atom 	TXC407 	San Jacinto
atom 	TXC409 	San Patricio
atom 	TXC411 	San Saba
atom 	TXC413 	Schleicher
atom 	TXC415 	Scurry
atom 	TXC417 	Shackelford
atom 	TXC419 	Shelby
