 	NYZ001 	Niagara
atom 	NYZ002 	Orleans
atom 	NYZ003 	Monroe
atom 	NYZ004 	Wayne
atom 	NYZ005 	Northern Cayuga
atom 	NYZ006 	Oswego
atom 	NYZ007 	Jefferson
atom 	NYZ008 	Lewis
atom 	NYZ009 	Northern Oneida
atom 	NYZ010 	Northern Erie
atom 	NYZ011 	Genesee
atom 	NYZ012 	Wyoming
atom 	NYZ013 	Livingston
atom 	NYZ014 	Ontario
atom 	NYZ015 	Yates
atom 	NYZ016 	Seneca
atom 	NYZ017 	Southern Cayuga
atom 	NYZ018 	Onondaga
atom 	NYZ019 	Chautauqua
atom 	NYZ020 	Cattaraugus
atom 	NYZ021 	Allegany
atom 	NYZ022 	Steuben
atom 	NYZ023 	Schuyler
atom 	NYZ024 	Chemung
atom 	NYZ025 	Tompkins
atom 	NYZ026 	Northern St. Lawrence
atom 	NYZ027 	Northern Franklin
atom 	NYZ028 	Eastern Clinton
atom 	NYZ029 	Southeastern St. Lawrence
atom 	NYZ030 	Southern Franklin
atom 	NYZ031 	Western Clinton
atom 	NYZ032 	Northern Herkimer
atom 	NYZ033 	Hamilton
atom 	NYZ034 	Western Essex
atom 	NYZ035 	Eastern Essex
atom 	NYZ036 	Madison
atom 	NYZ037 	Southern Oneida
atom 	NYZ038 	Southern Herkimer
atom 	NYZ039 	Southern Fulton
atom 	NYZ040 	Montgomery
atom 	NYZ041 	Northern Saratoga
atom 	NYZ042 	Northern Warren
atom 	NYZ043 	Northern Washington
atom 	NYZ044 	Cortland
atom 	NYZ045 	Chenango
atom 	NYZ046 	Otsego
atom 	NYZ047 	Schoharie
atom 	NYZ048 	Western Schenectady
atom 	NYZ049 	Eastern Schenectady
atom 	NYZ050 	Southern Saratoga
atom 	NYZ051 	Western Albany
atom 	NYZ052 	Eastern Albany
atom 	NYZ053 	Western Rensselaer
atom 	NYZ054 	Eastern Rensselaer
atom 	NYZ055 	Tioga
atom 	NYZ056 	Broome
atom 	NYZ057 	Delaware
atom 	NYZ058 	Western Greene
atom 	NYZ059 	Eastern Greene
atom 	NYZ060 	Western Columbia
atom 	NYZ061 	Eastern Columbia
atom 	NYZ062 	Sullivan
atom 	NYZ063 	Western Ulster
atom 	NYZ064 	Eastern Ulster
atom 	NYZ065 	Western Dutchess
atom 	NYZ066 	Eastern Dutchess
atom 	NYZ067 	Orange
atom 	NYZ068 	Putnam
atom 	NYZ069 	Rockland
atom 	NYZ070 	Northern Westchester
atom 	NYZ071 	Southern Westchester
atom 	NYZ072 	New York (Manhattan)
atom 	NYZ073 	Bronx
atom 	NYZ074 	Richmond (Staten Is.)
atom 	NYZ075 	Kings (Brooklyn)
atom 	NYZ078 	Northwest Suffolk
atom 	NYZ079 	Northeast Suffolk
atom 	NYZ080 	Southwest Suffolk
atom 	NYZ081 	Southeast Suffolk
atom 	NYZ082 	Northern Fulton
atom 	NYZ083 	Southeast Warren
atom 	NYZ084 	Southern Washington
atom 	NYZ085 	Southern Erie
atom 	NYZ087 	Southwestern St. Lawrence
atom 	NYZ176 	Northern Queens
atom 	NYZ177 	Northern Nassau
atom 	NYZ178 	Southern Queens
atom 	NYZ179 	Southern Nassau


