 	TXZ001 	Dallam
atom 	TXZ002 	Sherman
atom 	TXZ003 	Hansford
atom 	TXZ004 	Ochiltree
atom 	TXZ005 	Lipscomb
atom 	TXZ006 	Hartley
atom 	TXZ007 	Moore
atom 	TXZ008 	Hutchinson
atom 	TXZ009 	Roberts
atom 	TXZ010 	Hemphill
atom 	TXZ011 	Oldham
atom 	TXZ012 	Potter
atom 	TXZ013 	Carson
atom 	TXZ014 	Gray
atom 	TXZ015 	Wheeler
atom 	TXZ016 	Deaf Smith
atom 	TXZ017 	Randall
atom 	TXZ018 	Armstrong
atom 	TXZ019 	Donley
atom 	TXZ020 	Collingsworth
atom 	TXZ021 	Parmer
atom 	TXZ022 	Castro
atom 	TXZ023 	Swisher
atom 	TXZ024 	Briscoe
atom 	TXZ025 	Hall
atom 	TXZ026 	Childress
atom 	TXZ027 	Bailey
atom 	TXZ028 	Lamb
atom 	TXZ029 	Hale
atom 	TXZ030 	Floyd
atom 	TXZ031 	Motley
atom 	TXZ032 	Cottle
atom 	TXZ033 	Cochran
atom 	TXZ034 	Hockley
atom 	TXZ035 	Lubbock
atom 	TXZ036 	Crosby
atom 	TXZ037 	Dickens
atom 	TXZ038 	King
atom 	TXZ039 	Yoakum
atom 	TXZ040 	Terry
atom 	TXZ041 	Lynn
atom 	TXZ042 	Garza
atom 	TXZ043 	Kent
atom 	TXZ044 	Stonewall
atom 	TXZ045 	Gaines
atom 	TXZ046 	Dawson
atom 	TXZ047 	Borden
atom 	TXZ048 	Scurry
atom 	TXZ049 	Fisher
atom 	TXZ050 	Andrews
atom 	TXZ051 	Martin
atom 	TXZ052 	Howard
atom 	TXZ053 	Mitchell
atom 	TXZ054 	Nolan
atom 	TXZ055 	El Paso
atom 	TXZ056 	Hudspeth
atom 	TXZ057 	Van Horn and Highway 54 Corridor
atom 	TXZ058 	Reeves County and Upper Trans Pecos
atom 	TXZ059 	Loving
atom 	TXZ060 	Winkler
atom 	TXZ061 	Ector
atom 	TXZ062 	Midland
atom 	TXZ063 	Glasscock
atom 	TXZ064 	Sterling
atom 	TXZ065 	Coke
atom 	TXZ066 	Runnels
atom 	TXZ067 	Ward
atom 	TXZ068 	Crane
atom 	TXZ069 	Upton
atom 	TXZ070 	Reagan
atom 	TXZ071 	Irion
atom 	TXZ072 	Tom Green
atom 	TXZ073 	Concho
atom 	TXZ074 	Davis/Apache Mountains Area
atom 	TXZ075 	Pecos
atom 	TXZ076 	Crockett
atom 	TXZ077 	Schleicher
atom 	TXZ078 	Sutton
atom 	TXZ079 	Presidio Valley
atom 	TXZ080 	Marfa Plateau
atom 	TXZ081 	Big Bend Area
atom 	TXZ082 	Terrell
atom 	TXZ083 	Hardeman
atom 	TXZ084 	Foard
atom 	TXZ085 	Wilbarger
atom 	TXZ086 	Wichita
atom 	TXZ087 	Knox
atom 	TXZ088 	Baylor
atom 	TXZ089 	Archer
atom 	TXZ090 	Clay
atom 	TXZ091 	Montague
atom 	TXZ092 	Cooke
atom 	TXZ093 	Grayson
atom 	TXZ094 	Fannin
atom 	TXZ095 	Lamar
atom 	TXZ096 	Red River
atom 	TXZ097 	Bowie
atom 	TXZ098 	Haskell
atom 	TXZ099 	Throckmorton
atom 	TXZ100 	Young
atom 	TXZ101 	Jack
atom 	TXZ102 	Wise
atom 	TXZ103 	Denton
atom 	TXZ104 	Collin
atom 	TXZ105 	Hunt
atom 	TXZ106 	Delta
atom 	TXZ107 	Hopkins
atom 	TXZ108 	Franklin
atom 	TXZ109 	Titus
atom 	TXZ110 	Camp
atom 	TXZ111 	Morris
atom 	TXZ112 	Cass
atom 	TXZ113 	Jones
atom 	TXZ114 	Shackelford
atom 	TXZ115 	Stephens
atom 	TXZ116 	Palo Pinto
atom 	TXZ117 	Parker
atom 	TXZ118 	Tarrant
atom 	TXZ119 	Dallas
atom 	TXZ120 	Rockwall
atom 	TXZ121 	Kaufman
atom 	TXZ122 	Van Zandt
atom 	TXZ123 	Rains
atom 	TXZ124 	Wood
atom 	TXZ125 	Upshur
atom 	TXZ126 	Marion
atom 	TXZ127 	Taylor
atom 	TXZ128 	Callahan
atom 	TXZ129 	Eastland
atom 	TXZ130 	Erath
atom 	TXZ131 	Hood
atom 	TXZ132 	Somervell
atom 	TXZ133 	Johnson
atom 	TXZ134 	Ellis
atom 	TXZ135 	Henderson
atom 	TXZ136 	Smith
atom 	TXZ137 	Gregg
atom 	TXZ138 	Harrison
atom 	TXZ139 	Coleman
atom 	TXZ140 	Brown
atom 	TXZ141 	Comanche
atom 	TXZ142 	Mills
atom 	TXZ143 	Hamilton
atom 	TXZ144 	Bosque
atom 	TXZ145 	Hill
atom 	TXZ146 	Navarro
atom 	TXZ147 	Freestone
atom 	TXZ148 	Anderson
atom 	TXZ149 	Cherokee
atom 	TXZ150 	Rusk
atom 	TXZ151 	Panola
atom 	TXZ152 	Nacogdoches
atom 	TXZ153 	Shelby
atom 	TXZ154 	McCulloch
atom 	TXZ155 	San Saba
atom 	TXZ156 	Lampasas
atom 	TXZ157 	Coryell
