 	WYZ001 	Yellowstone National Park
atom 	WYZ002 	Absaroka Mountains
atom 	WYZ003 	Cody Foothills
atom 	WYZ004 	North Big Horn Basin
atom 	WYZ005 	Southwest Big Horn Basin
atom 	WYZ006 	Southeast Big Horn Basin
atom 	WYZ007 	Owl Creek and Bridger Mountains
atom 	WYZ008 	Bighorn Mountains West
atom 	WYZ009 	Bighorn Mountains Southeast
atom 	WYZ010 	Northeast Johnson County
atom 	WYZ011 	Southeast Johnson County
atom 	WYZ012 	Teton and Gros Ventre Mountains
atom 	WYZ013 	Jackson Hole
atom 	WYZ014 	Wind River Mountains West
atom 	WYZ015 	Wind River Mountains East
atom 	WYZ016 	Upper Wind River Basin
atom 	WYZ017 	Wind River Basin
atom 	WYZ018 	Lander Foothills
atom 	WYZ019 	Green Mountains and Rattlesnake Range
atom 	WYZ020 	Natrona County Lower Elevations
atom 	WYZ021 	Southwest Wyoming
atom 	WYZ022 	Casper Mountain
atom 	WYZ023 	Star Valley
atom 	WYZ024 	Salt River and Wyoming Ranges
atom 	WYZ025 	Upper Green River Basin Foothills
atom 	WYZ026 	Upper Green River Basin
atom 	WYZ027 	South Lincoln County
atom 	WYZ028 	Rock Springs and Green River
atom 	WYZ029 	Flaming Gorge
atom 	WYZ030 	East Sweetwater County
atom 	WYZ054 	Northern Cambell
atom 	WYZ055 	Southern Campbell
atom 	WYZ056 	Western Crook
atom 	WYZ057 	Wyoming Black Hills
atom 	WYZ058 	Weston
atom 	WYZ071 	Northeastern Crook
atom 	WYZ098 	Northeast Big Horn Mountains
atom 	WYZ099 	Sheridan Foothills
atom 	WYZ101 	Converse County Lower Elevations
atom 	WYZ102 	Niobrara County
atom 	WYZ103 	North Laramie Range
atom 	WYZ104 	Ferris/Seminoe/Shirley Mountains
atom 	WYZ105 	Shirley Basin
atom 	WYZ106 	Central Laramie Range and Southwest Platte County
atom 	WYZ107 	East Platte County
atom 	WYZ108 	Goshen County
atom 	WYZ109 	Central Carbon County
atom 	WYZ110 	North Snowy Range Foothills
atom 	WYZ111 	Southwest Carbon County
atom 	WYZ112 	Sierra Madre Range
atom 	WYZ113 	Upper North Platte River Basin
atom 	WYZ114 	Snowy Range
atom 	WYZ115 	Laramie Valley
atom 	WYZ116 	South Laramie Range
atom 	WYZ117 	South Laramie Range Foothills
atom 	WYZ118 	Central Laramie County
atom 	WYZ119 	East Laramie County
atom 	WYZ140 	Yellowstone National Park
atom 	WYZ259 	Southern Campbell
atom 	WYZ274 	Sheridan County/Casper BLM
atom 	WYZ275 	North Big Horn Basin/Worland BLM
atom 	WYZ276 	Cody Foothills
atom 	WYZ277 	Lincoln and Uinta Counties/Lower Elevations
atom 	WYZ278 	Upper Green River Basin/Rock Springs BLM
atom 	WYZ279 	Sweetwater County/Rock Springs BLM/Flaming Gorge NRA
atom 	WYZ280 	Natrona County/Casper BLM
atom 	WYZ281 	Johnson County/Casper BLM
atom 	WYZ282 	South Big Horn Basin/Worland BLM
atom 	WYZ283 	Upper Wind River Basin/Wind River Basin
atom 	WYZ284 	Big Horn National Forest
atom 	WYZ285 	South Bighorn Mountains
atom 	WYZ286 	Absaroka Mountains/North Shoshone NF
atom 	WYZ287 	Owl Creek Mountains
atom 	WYZ288 	East Wind River Mountains/South Shoshone NF
atom 	WYZ289 	Granite/Green/Ferris/Rattlesnake Mountains
atom 	WYZ297 	Northern Cambell
atom 	WYZ298 	Crook and Weston County Plains
atom 	WYZ299 	Wyoming Black Hills
atom 	WYZ300 	Casper Mountain
atom 	WYZ301 	Niobrara/Lower Elevations of Converse/Thunder Basin National Grassland
atom 	WYZ302 	North Laramie Range/Medicine Bow NF
atom 	WYZ303 	Central and Northern Carbon/Ferris-Seminoe-Shirley Mountains
atom 	WYZ304 	Southwest Carbon County
atom 	WYZ305 	Sierra Madre Range/Medicine Bow NF
atom 	WYZ306 	Upper North Platte River Basin
atom 	WYZ307 	Snowy Range/Medicine Bow NF
atom 	WYZ308 	Laramie Valley/Shirley Basin
atom 	WYZ309 	South Laramie Range/Medicine Bow NF
atom 	WYZ310 	Platte/Goshen/Central and Eastern Laramie
atom 	WYZ414 	Salt and Wyoming Ranges/West Zone Bridger Teton NF
atom 	WYZ415 	North Zone Bridger Teton NF and Grand Teton NP
atom 	WYZ416 	West Wind River Mountains/East Zone Bridger Teton NF
