 	HIZ001 	Niihau
atom 	HIZ002 	Kauai Windward
atom 	HIZ003 	Kauai Leeward
atom 	HIZ004 	Kauai Mountains
atom 	HIZ005 	Oahu South Shore
atom 	HIZ006 	Waianae Coast
atom 	HIZ007 	Oahu North Shore
atom 	HIZ008 	Oahu Koolau
atom 	HIZ009 	Olomana
atom 	HIZ010 	Central Oahu
atom 	HIZ011 	Waianae Mountains
atom 	HIZ012 	Molokai Windward
atom 	HIZ013 	Molokai Leeward
atom 	HIZ014 	Lanai Makai
atom 	HIZ015 	Lanai Mauka
atom 	HIZ016 	Kahoolawe
atom 	HIZ017 	Maui Windward West
atom 	HIZ018 	Maui Leeward West
atom 	HIZ019 	Maui Central Valley
atom 	HIZ020 	Windward Haleakala
atom 	HIZ021 	Leeward Haleakala
atom 	HIZ022 	Haleakala Summit
atom 	HIZ023 	Kona
atom 	HIZ024 	South Big Island
atom 	HIZ025 	Big Island North and East
atom 	HIZ026 	Kohala
atom 	HIZ027 	Big Island Interior
atom 	HIZ028 	Big Island Summit
