 	SCZ001 	Oconee Mountains
atom 	SCZ002 	Pickens Mountains
atom 	SCZ003 	Greenville Mountains
atom 	SCZ004 	Greater Oconee
atom 	SCZ005 	Greater Pickens
atom 	SCZ006 	Greater Greenville
atom 	SCZ007 	Spartanburg
atom 	SCZ008 	Cherokee
atom 	SCZ009 	York
atom 	SCZ010 	Anderson
atom 	SCZ011 	Abbeville
atom 	SCZ012 	Laurens
atom 	SCZ013 	Union
atom 	SCZ014 	Chester
atom 	SCZ015 	Lancaster
atom 	SCZ016 	Chesterfield
atom 	SCZ017 	Marlboro
atom 	SCZ018 	McCormick
atom 	SCZ019 	Greenwood
atom 	SCZ020 	Newberry
atom 	SCZ021 	Fairfield
atom 	SCZ022 	Kershaw
atom 	SCZ023 	Darlington
atom 	SCZ024 	Dillon
atom 	SCZ025 	Edgefield
atom 	SCZ026 	Saluda
atom 	SCZ027 	Lexington
atom 	SCZ028 	Richland
atom 	SCZ029 	Lee
atom 	SCZ030 	Aiken
atom 	SCZ031 	Sumter
atom 	SCZ032 	Florence
atom 	SCZ033 	Marion
atom 	SCZ035 	Barnwell
atom 	SCZ036 	Orangeburg
atom 	SCZ037 	Calhoun
atom 	SCZ038 	Clarendon
atom 	SCZ039 	Williamsburg
atom 	SCZ040 	Allendale
atom 	SCZ041 	Bamberg
atom 	SCZ042 	Hampton
atom 	SCZ043 	Inland Colleton
atom 	SCZ044 	Dorchester
atom 	SCZ045 	Inland Berkeley
atom 	SCZ047 	Inland Jasper
atom 	SCZ048 	Beaufort
atom 	SCZ049 	Coastal Colleton
atom 	SCZ050 	Charleston
atom 	SCZ051 	Coastal Jasper
atom 	SCZ052 	Tidal Berkeley
atom 	SCZ053 	Inland Horry
atom 	SCZ054 	Coastal Horry
atom 	SCZ055 	Inland Georgetown
atom 	SCZ056 	Coastal Georgetown


