 	AKZ017 	Cape Fairweather to Cape Suckling Coastal Area
atom 	AKZ018 	Taiya Inlet and Klondike Highway
atom 	AKZ019 	Haines Borough and Lynn Canal
atom 	AKZ020 	Glacier Bay
atom 	AKZ021 	Eastern Chichagof Island
atom 	AKZ022 	Salisbury Sound to Cape Fairweather Coastal Area
atom 	AKZ023 	Cape Decision to Salisbury Sound Coastal Area
atom 	AKZ024 	Eastern Baranof Island and Southern Admiralty Island
atom 	AKZ025 	Juneau Borough and Northern Admiralty Island
atom 	AKZ026 	Inner Channels from Kupreanof Island to Etolin Island
atom 	AKZ027 	Dixon Entrance to Cape Decision Coastal Area
atom 	AKZ028 	Southern Inner Channels
atom 	AKZ029 	Misty Fjords
atom 	AKZ101 	Anchorage
atom 	AKZ111 	Matanuska Valley
atom 	AKZ121 	Western Kenai Peninsula
atom 	AKZ125 	Western Prince William Sound
atom 	AKZ131 	Northeast Prince William Sound
atom 	AKZ135 	Southeast Prince William Sound
atom 	AKZ141 	Copper River Basin
atom 	AKZ145 	Susitna Valley
atom 	AKZ152 	Lower Kuskokwim Valley
atom 	AKZ153 	Middle Kuskokwim Valley
atom 	AKZ155 	Kuskokwim Delta
atom 	AKZ161 	Bristol Bay
atom 	AKZ162 	Greater Bristol Bay
atom 	AKZ163 	Western Alaska Range
atom 	AKZ171 	Kodiak Island
atom 	AKZ181 	Alaska Peninsula
atom 	AKZ185 	Eastern Aleutians
atom 	AKZ187 	Central Aleutians
atom 	AKZ191 	Western Aleutians
atom 	AKZ195 	Pribilof Islands
atom 	AKZ201 	Western Arctic Coast
atom 	AKZ202 	Northern Arctic Coast
atom 	AKZ203 	Central Beaufort Sea Coast
atom 	AKZ204 	Eastern Beaufort Sea Coast
atom 	AKZ205 	Northwestern Brooks Range
atom 	AKZ206 	Northeastern Brooks Range
atom 	AKZ207 	Chukchi Sea Coast
atom 	AKZ208 	Lower Kobuk and Noatak Valleys
atom 	AKZ209 	Baldwin Peninsula and Selawik Valley
atom 	AKZ210 	Northern and Interior Seward Peninsula
atom 	AKZ211 	Southern Seward Peninsula Coast
atom 	AKZ212 	Eastern Norton Sound and Nulato Hills
atom 	AKZ213 	St Lawrence Island and Bering Strait Coast
atom 	AKZ214 	Yukon Delta
atom 	AKZ215 	Lower Yukon Valley
atom 	AKZ216 	Lower Koyukuk and Middle Yukon Valleys
atom 	AKZ217 	Upper Kobuk and Noatak Valleys
atom 	AKZ218 	Southeastern Brooks Range
atom 	AKZ219 	Upper Koyukuk Valley
atom 	AKZ220 	Yukon Flats and Surrounding Uplands
atom 	AKZ221 	Central Interior
atom 	AKZ222 	Middle Tanana Valley
atom 	AKZ223 	Deltana and Tanana Flats
atom 	AKZ224 	Upper Tanana Valley and the Fortymile Country
atom 	AKZ225 	Denali
atom 	AKZ226 	Eastern Alaska Range
atom 	AKZ227 	Upper Kuskokwim Valley
