 	AMZ011 	Caribbean Nof 18N W of 85W including Yucatan Basin
atom 	AMZ013 	Caribbean N of 18N between 76W and 85W including Cayman Basin
atom 	AMZ015 	Caribbean approaches to the Windward Passage
atom 	AMZ017 	Gulf of Honduras
atom 	AMZ019 	Caribbean from 15N to 18N between 80W and 85W
atom 	AMZ021 	Caribbean from 15N to 18N between 72W and 80W
atom 	AMZ023 	Caribbean N of 15N between 64W and 72W
atom 	AMZ025 	Offshore Waters Leeward Islands
atom 	AMZ027 	Tropical N Atlantic from 15N to 19N between 55W and 60W
atom 	AMZ029 	W Central Caribbean from 11N to 15N W of 80W
atom 	AMZ031 	Caribbean from 11N to 15N between 72W and 80W including Colombia Basin
atom 	AMZ033 	Caribbean S of 15N between 64W and 72W including Venezuela Basin
atom 	AMZ035 	Offshore Waters Windward Islands including Trinidad and Tobago
atom 	AMZ037 	Tropical N Atlantic from 7N and 15N between 55W and 60W
atom 	AMZ039 	SW Caribbean S of 11N including the approaches to the Panama Canal
atom 	AMZ111 	Atlantic from 27N to 31N W of 77W
atom 	AMZ113 	Atlantic from 27N to 31N between 70W and 77W
atom 	AMZ115 	Atlantic from 27N to 31N between 65W and 70W
atom 	AMZ117 	Bahamas including Cay Sal Bank
atom 	AMZ119 	Atlantic from 22N to 27N E of Bahamas to 70W
atom 	AMZ121 	Atlantic from 22N to 27N between 65W and 70W
atom 	AMZ123 	Atlantic S of 22N W of 70W including approaches to the Windward Passage
atom 	AMZ125 	Atlantic S of 22N between 65W and 70W including Puerto Rico Trench
atom 	AMZ127 	Atlantic from 19N to 22N between 55W and 65W
atom 	AMZ130 	Albemarle Sound
atom 	AMZ131 	Alligator River
atom 	AMZ135 	Pamlico Sound
atom 	AMZ136 	Pamlico and Pungo Rivers
atom 	AMZ137 	Neuse and Bay Rivers
atom 	AMZ150 	S of Currituck Beach Light NC to Oregon Inlet NC out to 20 nm
atom 	AMZ152 	S of Oregon Inlet NC to Cape Hatteras NC out to 20 nm
atom 	AMZ154 	S of Cape Hatteras NC to Ocracoke Inlet NC out to 20 nm
atom 	AMZ156 	S of Ocracoke Inlet NC to Cape Lookout NC out to 20 nm
atom 	AMZ158 	S of Cape Lookout NC to Surf City NC out to 20 nm
