 	IDZ001 	Northern Panhandle
atom 	IDZ002 	Coeur d'Alene Area
atom 	IDZ003 	Idaho Palouse
atom 	IDZ004 	Central Panhandle Mountains
atom 	IDZ005 	Northern Clearwater Mountains
atom 	IDZ006 	Southern Clearwater Mountains
atom 	IDZ007 	Orofino/Grangeville Region
atom 	IDZ008 	Lower Hells Canyon/Salmon River Region
atom 	IDZ009 	Western Lemhi County
atom 	IDZ010 	Eastern Lemhi County
atom 	IDZ011 	West Central Mountains
atom 	IDZ012 	Lower Treasure Valley
atom 	IDZ013 	Boise Mountains
atom 	IDZ014 	Upper Treasure Valley
atom 	IDZ015 	Southwest Highlands
atom 	IDZ016 	Western Magic Valley
atom 	IDZ017 	Eastern Magic Valley
atom 	IDZ018 	Sawtooth Mountains
atom 	IDZ019 	Upper Snake Highlands
atom 	IDZ020 	Upper Snake River Plain
atom 	IDZ021 	Lower Snake River Plain
atom 	IDZ022 	South Central Highlands
atom 	IDZ023 	Caribou Highlands
atom 	IDZ024 	Cache Valley/Idaho Portion
atom 	IDZ025 	Wasatch Mountains/Idaho Portion
atom 	IDZ026 	Lewiston Area
atom 	IDZ027 	Lewis and Southern Nez Perce Counties
atom 	IDZ028 	Camas Prairie
atom 	IDZ029 	Owyhee Mountains
atom 	IDZ030 	Southern Twin Falls County
atom 	IDZ031 	Big and Little Wood River Region
atom 	IDZ032 	Lost River/Pashimeroi
atom 	IDZ033 	Upper Weiser River
atom 	IDZ101 	Idaho Palouse
atom 	IDZ102 	Palouse/Nezperce Reservation/Hells Canyon Region
atom 	IDZ103 	Clearwater/Nezperce National Forest
atom 	IDZ400 	Northern Boise BLM
atom 	IDZ401 	Western Payette National Forest
atom 	IDZ402 	Eastern Payette National Forest
atom 	IDZ403 	Northern Boise National Forest
atom 	IDZ410 	Upper Snake River Valley/Idaho Falls BLM
atom 	IDZ411 	Centennial Mountains and Snake River Range/Targhee NF
atom 	IDZ413 	Caribou Range/Caribou NF
atom 	IDZ420 	Treasure Valley BLM
atom 	IDZ421 	Southern Boise/Western Sawtooth NF, including the Camas Prairie
atom 	IDZ422 	Sawtooth Range/Northern Sawtooth NF
atom 	IDZ423 	Owyhee Mountains
atom 	IDZ424 	Western Twin Falls BLM
atom 	IDZ425 	Middle Snake River Valley/Twin Falls BLM north of the Snake River
atom 	IDZ426 	Southern Highlands
atom 	IDZ427 	Goose Creek and Raft River Valley/Southern Sawtooth NF/Twin Falls BLM south of the Snake River
atom 	IDZ475 	East Salmon River Mountains/Salmon NF
atom 	IDZ476 	Lemhi and Lost River Range/Challis NF
