 	LAZ001 	Caddo
atom 	LAZ002 	Bossier
atom 	LAZ003 	Webster
atom 	LAZ004 	Claiborne
atom 	LAZ005 	Lincoln
atom 	LAZ006 	Union
atom 	LAZ007 	Morehouse
atom 	LAZ008 	West Carroll
atom 	LAZ009 	East Carroll
atom 	LAZ010 	De Soto
atom 	LAZ011 	Red River
atom 	LAZ012 	Bienville
atom 	LAZ013 	Jackson
atom 	LAZ014 	Ouachita
atom 	LAZ015 	Richland
atom 	LAZ016 	Madison
atom 	LAZ017 	Sabine
atom 	LAZ018 	Natchitoches
atom 	LAZ019 	Winn
atom 	LAZ020 	Grant
atom 	LAZ021 	Caldwell
atom 	LAZ022 	La Salle
atom 	LAZ023 	Franklin
atom 	LAZ024 	Catahoula
atom 	LAZ025 	Tensas
atom 	LAZ026 	Concordia
atom 	LAZ027 	Vernon
atom 	LAZ028 	Rapides
atom 	LAZ029 	Avoyelles
atom 	LAZ030 	Beauregard
atom 	LAZ031 	Allen
atom 	LAZ032 	Evangeline
atom 	LAZ033 	St. Landry
atom 	LAZ034 	Pointe Coupee
atom 	LAZ035 	West Feliciana
atom 	LAZ036 	East Feliciana
atom 	LAZ037 	St. Helena
atom 	LAZ039 	Washington
atom 	LAZ040 	St. Tammany
atom 	LAZ041 	Calcasieu
atom 	LAZ042 	Jefferson Davis
atom 	LAZ043 	Acadia
atom 	LAZ044 	Lafayette
atom 	LAZ045 	Upper St. Martin
atom 	LAZ046 	Iberville
atom 	LAZ047 	West Baton Rouge
atom 	LAZ048 	East Baton Rouge
atom 	LAZ049 	Ascension
atom 	LAZ050 	Livingston
atom 	LAZ052 	Vermilion
atom 	LAZ053 	Iberia
atom 	LAZ054 	St. Mary
atom 	LAZ055 	Lower St. Martin
atom 	LAZ056 	Assumption
atom 	LAZ057 	St. James
atom 	LAZ058 	St. John The Baptist
atom 	LAZ059 	Upper Lafourche
atom 	LAZ060 	St. Charles
atom 	LAZ061 	Upper Jefferson
atom 	LAZ062 	Orleans
atom 	LAZ063 	Upper Plaquemines
atom 	LAZ064 	Upper St. Bernard
atom 	LAZ065 	Upper Terrebonne
atom 	LAZ066 	Lower Terrebonne
atom 	LAZ067 	Lower Lafourche
atom 	LAZ068 	Lower Jefferson
atom 	LAZ069 	Lower Plaquemines
atom 	LAZ070 	Lower St. Bernard
atom 	LAZ071 	Northern Tangipahoa
atom 	LAZ072 	Southern Tangipahoa
atom 	LAZ073 	West Cameron
atom 	LAZ074 	East Cameron
