 	LCZ422 	St. Clair River
atom 	LCZ423 	Detroit River
atom 	LCZ460 	Lake St. Clair Open Lake (U.S. Portion)
atom 	LEZ020 	Upper Niagara River and Buffalo Harbor
atom 	LEZ040 	Ripley to Dunkirk NY
atom 	LEZ041 	Dunkirk to Buffalo NY
atom 	LEZ061 	Ripley to Buffalo NY extending from 5NM off shoreline to US-Canadian border
atom 	LEZ142 	Maumee Bay to Reno Beach OH
atom 	LEZ143 	Reno Beach to The Islands OH
atom 	LEZ144 	The Islands to Vermilion OH
atom 	LEZ145 	Vermilion to Avon Point OH
atom 	LEZ146 	Avon Point to Willowick OH
atom 	LEZ147 	Willowick to Geneva-on-the Lake OH
atom 	LEZ148 	Geneva-on-the-Lake to Conneaut OH
atom 	LEZ149 	Conneaut OH to Ripley NY
atom 	LEZ162 	Detroit River Lt. to Maumee Bay OH to Reno Beach OH beyond 5NM offshoreline to US-Canadian border
atom 	LEZ163 	Reno Beach to The Islands OH beyond 5NM off shoreline to US-Canadian border
atom 	LEZ164 	The Islands to Vermilion OH beyond 5 nm off shoreline to US-Canadian border
atom 	LEZ165 	Vermilion to Avon Point OH beyond 5 nm off shoreline to US-Canadian border
atom 	LEZ166 	Avon Point to Willowick OH beyond 5 nm off shoreline to US-Canadian border
atom 	LEZ167 	Willowick to Geneva-on-the-Lake OH beyond 5NM off shoreline to US-Canadian border
atom 	LEZ168 	Geneva-on-the-Lake to Conneaut OH beyond 5 nm off shoreline to US-Canadian border
atom 	LEZ169 	Conneaut OH to Ripley NY beyond 5 nm off shoreline to US-Canadian border
atom 	LEZ444 	Michigan Waters of Lake Erie from Detroit River to North Cape MI
atom 	LHZ345 	Straits of Mackinac within 5 nm of Mackinac Bridge including Mackinac Island
atom 	LHZ346 	St Ignace to False Detour Channel
atom 	LHZ347 	5NM East of Mackinac Bridge to Presque Isle Light MI including Bois Blanc Island
atom 	LHZ348 	Presque Isle Light to Sturgeon Pt MI Including Thunder Bay National Marine Sanctuary
atom 	LHZ349 	Sturgeon Pt to Alabaster MI
atom 	LHZ361 	Lake Huron from 5NM east of Mackinac Bridge to Presque Isle Lt to the US/Canadian border beyond 5 NM from shore
atom 	LHZ362 	Lake Huron from Presque Isle Lt. to Sturgeon Point MI 5NM off shore to US/Canadian border
atom 	LHZ363 	Lake Huron from Sturgeon Point to Alabaster MI 5NM off shore to US/Canadian border
