 	MNZ001 	West Polk
atom 	MNZ002 	Norman
atom 	MNZ003 	Clay
atom 	MNZ004 	Kittson
atom 	MNZ005 	Roseau
atom 	MNZ006 	Lake Of The Woods
atom 	MNZ007 	West Marshall
atom 	MNZ008 	East Marshall
atom 	MNZ009 	North Beltrami
atom 	MNZ010 	Koochiching
atom 	MNZ011 	North St. Louis
atom 	MNZ012 	Northern Cook/Northern Lake
atom 	MNZ013 	Pennington
atom 	MNZ014 	Red Lake
atom 	MNZ015 	East Polk
atom 	MNZ016 	North Clearwater
atom 	MNZ017 	South Beltrami
atom 	MNZ018 	North Itasca
atom 	MNZ019 	Central St. Louis
atom 	MNZ020 	Southern Lake/North Shore
atom 	MNZ021 	Southern Cook/North Shore
atom 	MNZ022 	Mahnomen
atom 	MNZ023 	South Clearwater
atom 	MNZ024 	Hubbard
atom 	MNZ025 	North Cass
atom 	MNZ026 	South Itasca
atom 	MNZ027 	West Becker
atom 	MNZ028 	East Becker
atom 	MNZ029 	Wilkin
atom 	MNZ030 	West Otter Tail
atom 	MNZ031 	East Otter Tail
atom 	MNZ032 	Wadena
atom 	MNZ033 	South Cass
atom 	MNZ034 	Crow Wing
atom 	MNZ035 	Northern Aitkin
atom 	MNZ036 	South Aitkin
atom 	MNZ037 	Carlton/South St. Louis
atom 	MNZ038 	Pine
atom 	MNZ039 	Traverse
atom 	MNZ040 	Grant
atom 	MNZ041 	Douglas
atom 	MNZ042 	Todd
atom 	MNZ043 	Morrison
atom 	MNZ044 	Mille Lacs
atom 	MNZ045 	Kanabec
atom 	MNZ046 	Big Stone
atom 	MNZ047 	Stevens
atom 	MNZ048 	Pope
atom 	MNZ049 	Stearns
atom 	MNZ050 	Benton
atom 	MNZ051 	Sherburne
atom 	MNZ052 	Isanti
atom 	MNZ053 	Chisago
atom 	MNZ054 	Lac Qui Parle
atom 	MNZ055 	Swift
atom 	MNZ056 	Chippewa
atom 	MNZ057 	Kandiyohi
atom 	MNZ058 	Meeker
atom 	MNZ059 	Wright
atom 	MNZ060 	Hennepin
atom 	MNZ061 	Anoka
atom 	MNZ062 	Ramsey
atom 	MNZ063 	Washington
atom 	MNZ064 	Yellow Medicine
atom 	MNZ065 	Renville
atom 	MNZ066 	McLeod
atom 	MNZ067 	Sibley
atom 	MNZ068 	Carver
atom 	MNZ069 	Scott
atom 	MNZ070 	Dakota
atom 	MNZ071 	Lincoln
atom 	MNZ072 	Lyon
atom 	MNZ073 	Redwood
atom 	MNZ074 	Brown
atom 	MNZ075 	Nicollet
atom 	MNZ076 	Le Sueur
atom 	MNZ077 	Rice
atom 	MNZ078 	Goodhue
atom 	MNZ079 	Wabasha
atom 	MNZ080 	Murray
atom 	MNZ081 	Cottonwood
atom 	MNZ082 	Watonwan
atom 	MNZ083 	Blue Earth
atom 	MNZ084 	Waseca
atom 	MNZ085 	Steele
atom 	MNZ086 	Dodge
atom 	MNZ087 	Olmsted
atom 	MNZ088 	Winona
atom 	MNZ089 	Nobles
atom 	MNZ090 	Jackson
atom 	MNZ091 	Martin
atom 	MNZ092 	Faribault
atom 	MNZ093 	Freeborn
atom 	MNZ094 	Mower
atom 	MNZ095 	Fillmore
atom 	MNZ096 	Houston
atom 	MNZ097 	Pipestone
atom 	MNZ098 	Rock
