 	MSZ001 	De Soto
atom 	MSZ002 	Marshall
atom 	MSZ003 	Benton
atom 	MSZ004 	Tippah
atom 	MSZ005 	Alcorn
atom 	MSZ006 	Tishomingo
atom 	MSZ007 	Tunica
atom 	MSZ008 	Tate
atom 	MSZ009 	Prentiss
atom 	MSZ010 	Coahoma
atom 	MSZ011 	Quitman
atom 	MSZ012 	Panola
atom 	MSZ013 	Lafayette
atom 	MSZ014 	Union
atom 	MSZ015 	Pontotoc
atom 	MSZ016 	Lee
atom 	MSZ017 	Itawamba
atom 	MSZ018 	Bolivar
atom 	MSZ019 	Sunflower
atom 	MSZ020 	Tallahatchie
atom 	MSZ021 	Yalobusha
atom 	MSZ022 	Calhoun
atom 	MSZ023 	Chickasaw
atom 	MSZ024 	Monroe
atom 	MSZ025 	Leflore
atom 	MSZ026 	Grenada
atom 	MSZ027 	Carroll
atom 	MSZ028 	Montgomery
atom 	MSZ029 	Webster
atom 	MSZ030 	Clay
atom 	MSZ031 	Lowndes
atom 	MSZ032 	Choctaw
atom 	MSZ033 	Oktibbeha
atom 	MSZ034 	Washington
atom 	MSZ035 	Humphreys
atom 	MSZ036 	Holmes
atom 	MSZ037 	Attala
atom 	MSZ038 	Winston
atom 	MSZ039 	Noxubee
atom 	MSZ040 	Issaquena
atom 	MSZ041 	Sharkey
atom 	MSZ042 	Yazoo
atom 	MSZ043 	Madison
atom 	MSZ044 	Leake
atom 	MSZ045 	Neshoba
atom 	MSZ046 	Kemper
atom 	MSZ047 	Warren
atom 	MSZ048 	Hinds
atom 	MSZ049 	Rankin
atom 	MSZ050 	Scott
atom 	MSZ051 	Newton
atom 	MSZ052 	Lauderdale
atom 	MSZ053 	Claiborne
atom 	MSZ054 	Copiah
atom 	MSZ055 	Simpson
atom 	MSZ056 	Smith
atom 	MSZ057 	Jasper
atom 	MSZ058 	Clarke
atom 	MSZ059 	Jefferson
atom 	MSZ060 	Adams
atom 	MSZ061 	Franklin
atom 	MSZ062 	Lincoln
atom 	MSZ063 	Lawrence
atom 	MSZ064 	Jefferson Davis
atom 	MSZ065 	Covington
atom 	MSZ066 	Jones
atom 	MSZ067 	Wayne
atom 	MSZ068 	Wilkinson
atom 	MSZ069 	Amite
atom 	MSZ070 	Pike
atom 	MSZ071 	Walthall
atom 	MSZ072 	Marion
atom 	MSZ073 	Lamar
atom 	MSZ074 	Forrest
atom 	MSZ075 	Perry
atom 	MSZ076 	Greene
atom 	MSZ077 	Pearl River
atom 	MSZ078 	Stone
atom 	MSZ079 	George
atom 	MSZ080 	Hancock
atom 	MSZ081 	Harrison
atom 	MSZ082 	Jackson
