 	NDZ001 	Divide
atom 	NDZ002 	Burke
atom 	NDZ003 	Renville
atom 	NDZ004 	Bottineau
atom 	NDZ005 	Rolette
atom 	NDZ006 	Towner
atom 	NDZ007 	Cavalier
atom 	NDZ008 	Pembina
atom 	NDZ009 	Williams
atom 	NDZ010 	Mountrail
atom 	NDZ011 	Ward
atom 	NDZ012 	McHenry
atom 	NDZ013 	Pierce
atom 	NDZ014 	Benson
atom 	NDZ015 	Ramsey
atom 	NDZ016 	Eastern Walsh County
atom 	NDZ017 	McKenzie
atom 	NDZ018 	Dunn
atom 	NDZ019 	Mercer
atom 	NDZ020 	Oliver
atom 	NDZ021 	McLean
atom 	NDZ022 	Sheridan
atom 	NDZ023 	Wells
atom 	NDZ024 	Eddy
atom 	NDZ025 	Foster
atom 	NDZ026 	Nelson
atom 	NDZ027 	Grand Forks
atom 	NDZ028 	Griggs
atom 	NDZ029 	Steele
atom 	NDZ030 	Traill
atom 	NDZ031 	Golden Valley
atom 	NDZ032 	Billings
atom 	NDZ033 	Stark
atom 	NDZ034 	Morton
atom 	NDZ035 	Burleigh
atom 	NDZ036 	Kidder
atom 	NDZ037 	Stutsman
atom 	NDZ038 	Barnes
atom 	NDZ039 	Cass
atom 	NDZ040 	Slope
atom 	NDZ041 	Hettinger
atom 	NDZ042 	Grant
atom 	NDZ043 	Bowman
atom 	NDZ044 	Adams
atom 	NDZ045 	Sioux
atom 	NDZ046 	Emmons
atom 	NDZ047 	Logan
atom 	NDZ048 	La Moure
atom 	NDZ049 	Ransom
atom 	NDZ050 	McIntosh
atom 	NDZ051 	Dickey
atom 	NDZ052 	Sargent
atom 	NDZ053 	Richland
atom 	NDZ054 	Western Walsh County
