 	NMZ027 	Guadalupe Mountains of Eddy County
atom 	NMZ028 	Eddy County Plains
atom 	NMZ029 	Northern Lea County
atom 	NMZ033 	Central Lea County
atom 	NMZ034 	Southern Lea County
atom 	NMZ101 	Northwest Plateau
atom 	NMZ102 	North Central Mountains
atom 	NMZ103 	Northeast Highlands
atom 	NMZ104 	Northeast Plains
atom 	NMZ105 	Northwest Highlands
atom 	NMZ106 	Middle Rio Grande Valley
atom 	NMZ107 	Sandia Manzano And Gallinas Mountains
atom 	NMZ108 	East Central Plains
atom 	NMZ109 	West Central Highlands
atom 	NMZ110 	Southwest Mountains
atom 	NMZ111 	Southwest Deserts and Lowlands
atom 	NMZ112 	South Central Lowlands And Southern Rio Grande Valley
atom 	NMZ113 	Capitan And Sacramento Mountains
atom 	NMZ114 	Guadalupe Mountains
atom 	NMZ115 	Southeast Plains
atom 	NMZ401 	Upper Gila River Valley
atom 	NMZ402 	Southern Gila Highlands/Black Range
atom 	NMZ403 	Southern Gila Foothills/Mimbres Valley
atom 	NMZ404 	Southwest Desert/Lower Gila River Valley
atom 	NMZ405 	Lowlands of the Bootheel
atom 	NMZ406 	Uplands of the Bootheel
atom 	NMZ407 	Southwest Desert/Mimbres Basin
atom 	NMZ408 	Eastern Black Range Foothills
atom 	NMZ409 	Sierra County Lakes
atom 	NMZ410 	Northern Dona Ana County
atom 	NMZ411 	Southern Dona Ana County/Mesilla Valley
atom 	NMZ412 	Central Tularosa Basin
atom 	NMZ413 	Southern Tularosa Basin
atom 	NMZ414 	West Slopes Sacramento Mountains Below 7500 Feet
atom 	NMZ415 	Sacramento Mountains Above 7500 Feet
atom 	NMZ416 	East Slopes Sacramento Mountains Below 7500 Feet
atom 	NMZ417 	Otero Mesa
atom 	NMZ501 	Northwest Plateau
atom 	NMZ502 	Chuska Mountains
atom 	NMZ503 	Far Northwest Highlands
atom 	NMZ504 	Northwest Highlands
atom 	NMZ505 	West Central Plateau
atom 	NMZ506 	West Central Mountains
atom 	NMZ507 	West Central Highlands
atom 	NMZ508 	Southwest Mountains
atom 	NMZ509 	San Francisco River Valley
atom 	NMZ510 	San Juan Mountains
atom 	NMZ511 	Jemez Mountains
atom 	NMZ512 	West Slopes Sangre de Cristo Mountains
atom 	NMZ513 	Northern Sangre de Cristos above 9500 feet/Red River
atom 	NMZ514 	Southern Sangre de Cristos above 9500 feet
atom 	NMZ515 	East Slopes Sangre de Cristo Mountains
atom 	NMZ516 	Upper Rio Grande Valley
atom 	NMZ517 	Lower Chama River Valley
atom 	NMZ518 	Santa Fe Metro Area
atom 	NMZ519 	Middle Rio Grande Valley/Albuquerque Metro Area
atom 	NMZ520 	Lower Rio Grande Valley
atom 	NMZ521 	Sandia/Manzano Mountains
atom 	NMZ522 	Estancia Valley
atom 	NMZ523 	Central Highlands
atom 	NMZ524 	South Central Highlands
atom 	NMZ525 	Upper Tularosa Valley
atom 	NMZ526 	South Central Mountains
atom 	NMZ527 	Raton Ridge/Johnson Mesa
atom 	NMZ528 	Far Northeast Highlands
atom 	NMZ529 	Northeast Highlands
atom 	NMZ530 	Union County
atom 	NMZ531 	Harding County
atom 	NMZ532 	Eastern San Miguel County
atom 	NMZ533 	Guadalupe County
atom 	NMZ534 	Quay County
atom 	NMZ535 	Curry County
atom 	NMZ536 	Roosevelt County
atom 	NMZ537 	De Baca County
atom 	NMZ538 	Chaves County Plains
atom 	NMZ539 	Eastern Lincoln County
atom 	NMZ540 	Southwest Chaves County
