 	OKZ001 	Cimarron
atom 	OKZ002 	Texas
atom 	OKZ003 	Beaver
atom 	OKZ004 	Harper
atom 	OKZ005 	Woods
atom 	OKZ006 	Alfalfa
atom 	OKZ007 	Grant
atom 	OKZ008 	Kay
atom 	OKZ009 	Ellis
atom 	OKZ010 	Woodward
atom 	OKZ011 	Major
atom 	OKZ012 	Garfield
atom 	OKZ013 	Noble
atom 	OKZ014 	Roger Mills
atom 	OKZ015 	Dewey
atom 	OKZ016 	Custer
atom 	OKZ017 	Blaine
atom 	OKZ018 	Kingfisher
atom 	OKZ019 	Logan
atom 	OKZ020 	Payne
atom 	OKZ021 	Beckham
atom 	OKZ022 	Washita
atom 	OKZ023 	Caddo
atom 	OKZ024 	Canadian
atom 	OKZ025 	Oklahoma
atom 	OKZ026 	Lincoln
atom 	OKZ027 	Grady
atom 	OKZ028 	McClain
atom 	OKZ029 	Cleveland
atom 	OKZ030 	Pottawatomie
atom 	OKZ031 	Seminole
atom 	OKZ032 	Hughes
atom 	OKZ033 	Harmon
atom 	OKZ034 	Greer
atom 	OKZ035 	Kiowa
atom 	OKZ036 	Jackson
atom 	OKZ037 	Tillman
atom 	OKZ038 	Comanche
atom 	OKZ039 	Stephens
atom 	OKZ040 	Garvin
atom 	OKZ041 	Murray
atom 	OKZ042 	Pontotoc
atom 	OKZ043 	Coal
atom 	OKZ044 	Cotton
atom 	OKZ045 	Jefferson
atom 	OKZ046 	Carter
atom 	OKZ047 	Johnston
atom 	OKZ048 	Atoka
atom 	OKZ049 	Pushmataha
atom 	OKZ050 	Love
atom 	OKZ051 	Marshall
atom 	OKZ052 	Bryan
atom 	OKZ053 	Choctaw
atom 	OKZ054 	Osage
atom 	OKZ055 	Washington
atom 	OKZ056 	Nowata
atom 	OKZ057 	Craig
atom 	OKZ058 	Ottawa
atom 	OKZ059 	Pawnee
atom 	OKZ060 	Tulsa
atom 	OKZ061 	Rogers
atom 	OKZ062 	Mayes
atom 	OKZ063 	Delaware
atom 	OKZ064 	Creek
atom 	OKZ065 	Okfuskee
atom 	OKZ066 	Okmulgee
atom 	OKZ067 	Wagoner
atom 	OKZ068 	Cherokee
atom 	OKZ069 	Adair
atom 	OKZ070 	Muskogee
atom 	OKZ071 	McIntosh
atom 	OKZ072 	Sequoyah
atom 	OKZ073 	Pittsburg
atom 	OKZ074 	Haskell
atom 	OKZ075 	Latimer
atom 	OKZ076 	Le Flore
atom 	OKZ077 	McCurtain
