 	ORZ001 	North Oregon Coast
atom 	ORZ002 	Central Oregon Coast
atom 	ORZ003 	Coast Range of Northwest Oregon
atom 	ORZ004 	Central Coast Range of Western Oregon
atom 	ORZ005 	Lower Columbia
atom 	ORZ006 	Greater Portland Metro Area
atom 	ORZ007 	Central Willamette Valley
atom 	ORZ008 	South Willamette Valley
atom 	ORZ010 	Northern Oregon Cascade Foothills
atom 	ORZ011 	Northern Oregon Cascades
atom 	ORZ012 	Cascade Foothills in Lane County
atom 	ORZ013 	Cascades in Lane County
atom 	ORZ014 	Upper Hood River Valley
atom 	ORZ015 	Western Columbia River Gorge
atom 	ORZ016 	Central Columbia River Gorge
atom 	ORZ021 	South Central Oregon Coast
atom 	ORZ022 	Curry County Coast
atom 	ORZ023 	Central Douglas County
atom 	ORZ024 	Eastern Curry County and Josephine County
atom 	ORZ025 	Eastern Douglas County Foothills
atom 	ORZ026 	Jackson County
atom 	ORZ027 	South Central Oregon Cascades
atom 	ORZ028 	Siskiyou Mountains and Southern Oregon Cascades
atom 	ORZ029 	Klamath Basin
atom 	ORZ030 	Northern and Eastern Klamath County and Western Lake County
atom 	ORZ031 	Central and Eastern Lake County
atom 	ORZ041 	East Columbia River Gorge
atom 	ORZ044 	Lower Columbia Basin of Oregon
atom 	ORZ049 	Grande Ronde Valley
atom 	ORZ050 	Wallowa County
atom 	ORZ061 	Harney County
atom 	ORZ062 	Baker County
atom 	ORZ063 	Malheur County
atom 	ORZ064 	Oregon Lower Treasure Valley
atom 	ORZ502 	Northern Blue Mountains of Oregon
atom 	ORZ503 	Southern Blue Mountains of Oregon
atom 	ORZ505 	John Day Basin
atom 	ORZ506 	Ochoco-John Day Highlands
atom 	ORZ507 	Foothills of the Northern Blue Mountains of Oregon
atom 	ORZ508 	Foothills of the Southern Blue Mountains of Oregon
atom 	ORZ509 	East Slopes of the Oregon Cascades
atom 	ORZ510 	North Central Oregon
atom 	ORZ511 	Central Oregon
atom 	ORZ601 	North Oregon Coast
atom 	ORZ602 	North Oregon Coast Range
atom 	ORZ603 	East Slopes of the Central Oregon Coast Range
atom 	ORZ604 	Willamette Valley
atom 	ORZ605 	North Oregon Cascade Foothills
atom 	ORZ606 	Central Oregon Cascade Foothills
atom 	ORZ607 	Mt. Hood National Forest - West of Cascade Crest
atom 	ORZ608 	Willamette National Forest
atom 	ORZ610 	East Slopes of Central Oregon Cascades
atom 	ORZ611 	Deschutes National Forest - minus Sisters Ranger District
atom 	ORZ612 	Central Oregon Coastal Strip
atom 	ORZ615 	South Central Oregon Coast
atom 	ORZ616 	Umpqua Basin
atom 	ORZ617 	Umpqua National Forest
atom 	ORZ618 	Southern Oregon Coast
atom 	ORZ619 	Western Siskiyou National Forest
atom 	ORZ620 	Western Rogue Basin including the Illinois Valley
atom 	ORZ621 	Siskiyou Mountains
atom 	ORZ622 	Eastern Rogue Valley
atom 	ORZ623 	Southern Oregon Cascades
atom 	ORZ624 	Klamath Basin and the Fremont-Winema National Forest
atom 	ORZ625 	South Central Oregon Desert including the BLM Land in Eastern Lake and Western Harney Counties
atom 	ORZ636 	Burns BLM
atom 	ORZ637 	Vale BLM
atom 	ORZ639 	East Slopes of the Northern Oregon Cascades
atom 	ORZ640 	Central Mountains of Oregon
atom 	ORZ641 	Lower Columbia Basin of Oregon
atom 	ORZ642 	Southern Blue and Strawberry Mountains
atom 	ORZ643 	Northern Blue Mountains of Oregon
atom 	ORZ644 	Central Blue Mountains
atom 	ORZ645 	Wallowa District
atom 	ORZ646 	Baker Valley
