 	PHZ110 	Kauai Northwest Waters
atom 	PHZ111 	Kauai Windward Waters
atom 	PHZ112 	Kauai Leeward Waters
atom 	PHZ113 	Kauai Channel
atom 	PHZ114 	Oahu Windward Waters
atom 	PHZ115 	Oahu Leeward Waters
atom 	PHZ116 	Kaiwi Channel
atom 	PHZ117 	Maui County Windward Waters
atom 	PHZ118 	Maui County Leeward Waters
atom 	PHZ119 	Maalaea Bay
atom 	PHZ120 	Pailolo Channel
atom 	PHZ121 	Alenuihaha Channel
atom 	PHZ122 	Big Island Windward Waters
atom 	PHZ123 	Big Island Leeward Waters
atom 	PHZ124 	Big Island Southeast Waters
atom 	PHZ180 	Offshore Waters Within 240 nm of Honolulu
atom 	PMZ151 	Guam Coastal Waters
atom 	PMZ152 	Rota Coastal Waters
atom 	PMZ153 	Tinian Coastal Waters
atom 	PMZ154 	Saipan Coastal Waters
atom 	PMZ161 	Koror Palau Coastal Waters
atom 	PMZ171 	Yap Coastal Waters
atom 	PMZ172 	Chuuk Coastal Waters
atom 	PMZ173 	Pohnpei Coastal Waters
atom 	PMZ174 	Kosrae Coastal Waters
atom 	PMZ181 	Majuro Coastal Waters
atom 	PMZ191 	Waters out to 40 Nautical Miles
atom 	PSZ150 	Coastal waters of Tututila and Aunuu
atom 	PSZ151 	Coastal waters of Manua
atom 	PSZ152 	Coastal waters of Swain's Island
