 	SDZ001 	Harding
atom 	SDZ002 	Perkins
atom 	SDZ003 	Corson
atom 	SDZ004 	Campbell
atom 	SDZ005 	McPherson
atom 	SDZ006 	Brown
atom 	SDZ007 	Marshall
atom 	SDZ008 	Roberts
atom 	SDZ009 	Walworth
atom 	SDZ010 	Edmunds
atom 	SDZ011 	Day
atom 	SDZ012 	Butte
atom 	SDZ013 	Northern Meade Co Plains
atom 	SDZ014 	Ziebach
atom 	SDZ015 	Dewey
atom 	SDZ016 	Potter
atom 	SDZ017 	Faulk
atom 	SDZ018 	Spink
atom 	SDZ019 	Clark
atom 	SDZ020 	Codington
atom 	SDZ021 	Grant
atom 	SDZ022 	Hamlin
atom 	SDZ023 	Deuel
atom 	SDZ024 	Northern Black Hills
atom 	SDZ025 	Northern Foot Hills
atom 	SDZ026 	Rapid City
atom 	SDZ027 	Southern Foot Hills
atom 	SDZ028 	Central Black Hills
atom 	SDZ029 	Southern Black Hills
atom 	SDZ030 	Custer Co Plains
atom 	SDZ031 	Pennington Co Plains
atom 	SDZ032 	Haakon
atom 	SDZ033 	Stanley
atom 	SDZ034 	Sully
atom 	SDZ035 	Hughes
atom 	SDZ036 	Hyde
atom 	SDZ037 	Hand
atom 	SDZ038 	Beadle
atom 	SDZ039 	Kingsbury
atom 	SDZ040 	Brookings
atom 	SDZ041 	Fall River
atom 	SDZ042 	Oglala Lakota
atom 	SDZ043 	Jackson
atom 	SDZ044 	Bennett
atom 	SDZ045 	Jones
atom 	SDZ046 	Mellette
atom 	SDZ047 	Todd
atom 	SDZ048 	Lyman
atom 	SDZ049 	Tripp
atom 	SDZ050 	Gregory
atom 	SDZ051 	Buffalo
atom 	SDZ052 	Jerauld
atom 	SDZ053 	Sanborn
atom 	SDZ054 	Miner
atom 	SDZ055 	Lake
atom 	SDZ056 	Moody
atom 	SDZ057 	Brule
atom 	SDZ058 	Aurora
atom 	SDZ059 	Davison
atom 	SDZ060 	Hanson
atom 	SDZ061 	McCook
atom 	SDZ062 	Minnehaha
atom 	SDZ063 	Charles Mix
atom 	SDZ064 	Douglas
atom 	SDZ065 	Hutchinson
atom 	SDZ066 	Turner
atom 	SDZ067 	Lincoln
atom 	SDZ068 	Bon Homme
atom 	SDZ069 	Yankton
atom 	SDZ070 	Clay
atom 	SDZ071 	Union
atom 	SDZ072 	Sturgis/Piedmont Foot Hills
atom 	SDZ073 	Southern Meade Co Plains
atom 	SDZ074 	Hermosa Foot Hills
atom 	SDZ255 	Lower Brule And Lake Andes Vicinity
atom 	SDZ256 	Middle James River Valley
atom 	SDZ257 	Middle Big Sioux River Valley
atom 	SDZ258 	Lower James River To Lower Big Sioux River Valley
atom 	SDZ260 	Northern Black Hills
atom 	SDZ261 	Northwestern South Dakota
atom 	SDZ262 	Southern Black Hills
atom 	SDZ263 	Southwestern South Dakota
atom 	SDZ264 	Badlands Area
atom 	SDZ265 	South Central South Dakota
atom 	SDZ266 	Central South Dakota
atom 	SDZ267 	Lower Bad River
atom 	SDZ268 	Upper Cheyenne
atom 	SDZ269 	Upper Missouri Coteau
atom 	SDZ270 	Missouri Coteau
atom 	SDZ271 	Upper James River
atom 	SDZ272 	Prairie Coteau
atom 	SDZ273 	Red River Valley


