KABR,"Aberdeen, SD"
KENX,"Albany, NY"
KABX,"Albuquerque, NM"
KFDR,"Altus AFB, OK"
KAMA,"Amarillo, TX"
PAHG,"Anchorage, AK"
PGUA,"Anderson AFB, GU"
KFFC,"Atlanta, GA"
KEWX,"Austin/San Antonio, TX"
KBBX,"Beale AFB, CA"
PABC,"Bethel, AK"
KBLX,"Billings, MT"
KBGM,"Binghamton, NY"
KBMX,"Birmingham, AL"
KBIS,"Bismarck, ND"
KCBX,"Boise, ID"
KBOX,"Boston, MA"
KBRO,"Brownsville, TX"
KBUF,"Buffalo, NY"
KCXX,"Burlington, VT"
RKSG,"Camp Humphreys, Korea"
KFDX,"Cannon AFB, NM"
KICX,"Cedar City, UT"
KCLX,"Charleston, SC"
KRLX,"Charleston, WV"
KCYS,"Cheyenne, WY"
KLOT,"Chicago, IL"
KILN,"Cincinnati, OH"
KCLE,"Cleveland, OH"
KCAE,"Columbia, SC"
KGWX,"Columbus AFB, MS"
KCRP,"Corpus Christi, TX"
KFWS,"Dallas/Ft. Worth, TX"
KDVN,"Davenport, IA"
KFTG,"Denver, CO"
KDMX,"Des Moines, IA"
KDTX,"Detroit, MI"
KDDC,"Dodge City, KS"
KDOX,"Dover AFB, DE"
KDLH,"Duluth, MN"
KDYX,"Dyess AFB, TX"
KEYX,"Edwards AFB, CA"
KEVX,"Eglin AFB, FL"
KEPZ,"El Paso, TX"
KLRX,"Elko, NV"
KBHX,"Eureka, CA"
PAPD,"Fairbanks, AK"
KFSX,"Flagstaff, AZ"
KHPX,"Fort Campbell, KY"
KGRK,"Fort Hood, TX"
KPOE,"Fort Polk, LA"
KEOX,"Fort Rucker, AL"
KSRX,"Fort Smith, AR"
KIWX,"Fort Wayne, IN"
KAPX,"Gaylord, MI"
KGGW,"Glasgow, MT"
KGLD,"Goodland, KS"
KMVX,"Grand Forks, ND"
KGJX,"Grand Junction, Co"
KGRR,"Grand Rapids, MI"
KTFX,"Great Falls, MT"
KGRB,"Green Bay, WI"
KGSP,"Greer, SC"
KRMX,"Griffiss AFB, NY"
KUEX,"Hastings, NE"
KHDX,"Holloman AFB, NM"
KCBW,"Houlton, ME"
KHGX,"Houston/Galveston, TX"
KHTX,"Huntsville, AL"
KIND,"Indianapolis, IN"
KJKL,"Jackson, KY"
KJAN,"Jackson, MS"
KJAX,"Jacksonville, FL"
RODN,"Kadena, Okinawa"
PHKN,"Kamuela, HI"
KEAX,"Kansas City, MO"
KBYX,"Key West, FL"
PAKC,"King Salmon, AK"
KMRX,"Knoxville/Tri-Cities, TN"
RKJK,"Kunsan AB, Korea"
KARX,"La Crosse, WI"
LPLA,"Lajes AB, Azores"
KLCH,"Lake Charles, LA"
KESX,"Las Vegas, NV"
KDFX,"Laughlin AFB, TX"
KILX,"Lincoln, IL"
KLZK,"Little Rock, AR"
KVTX,"Los Angeles, CA"
KLVX,"Louisville, KY"
KLBB,"Lubbock, TX"
KMQT,"Marquette, MI"
KMXX,"Maxwell AFB, AL"
KMAX,"Medford, OR"
KMLB,"Melbourne, FL"
KNQA,"Memphis, TN"
KAMX,"Miami, FL"
PAIH,"Middleton Island, AK"
KMAF,"Midland/Odessa, TX"
KMKX,"Milwaukee, WI"
KMPX,"Minneapolis/St. Paul, MN"
KMBX,"Minot AFB, ND"
KMSX,"Missoula, MT"
KMOB,"Mobile, AL"
PHMO,"Molokai, HI"
KVAX,"Moody AFB, GA"
KMHX,"Morehead City, NC"
KOHX,"Nashville, TN"
KLIX,"New Orleans, LA"
KOKX,"New York City, NY"
PAEC,"Nome, AK"
KAKQ,"Norfolk/Richmond, VA"
KLNX,"North Platte, NE"
KTLX,"Oklahoma City, OK"
KOAX,"Omaha, NE"
KPAH,"Paducah, KY"
KPDT,"Pendleton, OR"
KDIX,"Philadelphia, PA"
KIWA,"Phoenix, AZ"
KPBZ,"Pittsburgh, PA"
KSFX,"Pocatello/Idaho Falls, ID"
KGYX,"Portland, ME"
KRTX,"Portland, OR"
KPUX,"Pueblo, CO"
KRAX,"Raleigh/Durham, NC"
KUDX,"Rapid City, SD"
KRGX,"Reno, NV"
KRIW,"Riverton, WY"
KFCX,"Roanoke, VA"
KJGX,"Robins AFB, GA"
KDAX,"Sacramento, CA"
KLSX,"Saint Louis, MO"
KMTX,"Salt Lake City, UT"
KSJT,"San Angelo, TX"
KNKX,"San Diego, CA"
KMUX,"San Francisco, CA"
KHNX,"San Joaquin Valley, CA"
TJUA,"San Juan, PR"
KSOX,"Santa Ana Mountains, CA"
KATX,"Seattle/Tacoma, WA"
KSHV,"Shreveport, LA"
KFSD,"Sioux Falls, SD"
PACG,"Sitka, AK"
PHKI,"South Kauai, HI"
PHWA,"South Shore, HI"
KOTX,"Spokane, WA"
KSGF,"Springfield, MO"
KCCX,"State College, PA"
KLWX,"Sterling, VA"
KTLH,"Tallahassee, FL"
KTBW,"Tampa, FL"
KTWX,"Topeka, KS"
KEMX,"Tucson, AZ"
KINX,"Tulsa, OK"
KVNX,"Vance AFB, OK"
KVBX,"Vandenberg AFB, CA"
KICT,"Wichita, KS"
KLTX,"Wilmington, NC"
KYUX,"Yuma, AZ"
